Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,County Sportplex Pond,NW14-72-6-W6,TGTR,Beitty/Bow River,3N,19.2,50,8-May-24
Unnamed,Dickson Trout Pond,NW13-35-3-W5,TGTR,Beitty/Bow River,3N,20.3,1700,1-May-24
Unnamed,Diplomat Mine Pond,NW1-41-16-W4,TGTR,Beitty/Bow River,3N,19.3,1500,18-Apr-24
Unnamed,Elk Point Pond,NW36-56-7-W4,TGTR,Beitty/Bow River,3N,20.1,150,3-May-24
Unnamed,Enchant Pond,NW8-14-18-W4,TGTR,Beitty/Bow River,3N,20,200,10-Apr-24
Unnamed,Huber Reservoir,SW36-37-13-W4,TGTR,Beitty/Bow River,3N,19,1250,17-Apr-24
Unnamed,Kerbe's Pond,NE19-36-20-W4,TGTR,Beitty/Bow River,3N,19.5,1000,17-Apr-24
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,TGTR,Beitty/Bow River,3N,20.2,70,30-Apr-24
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,TGTR,Beitty/Bow River,3N,19.7,650,30-Apr-24
Unnamed,Little Beaverdam Lake,SE34-1-28-W4,TGTR,Beitty/Bow River,3N,19.5,1000,16-May-24
Unnamed,"McVinnie
Reservoir",SW33-12-21-W4,TGTR,Beitty/Bow River,3N,20,400,10-Apr-24
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,TGTR,Beitty/Bow River,3N,19.9,200,25-May-24
Unnamed,Ponoka Centennial Park Pond,NE5-43-25-W4,TGTR,Beitty/Bow River,3N,19.7,100,30-Apr-24
Unnamed,"Shell True North
Pond",SW10-79-8-W6,TGTR,Beitty/Bow River,3N,19.2,50,8-May-24
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,TGTR,Beitty/Bow River,3N,20.1,300,3-May-24
Unnamed,Strathmore Children's Pond,SW14-24-25-W4,TGTR,Beitty/Bow River,3N,19.1,150,2-May-24
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,TGTR,Beitty/Bow River,3N,19.5,200,25-Apr-24
"West Rivers Edge
Pond","Fort Lions Park
Pond",NE23-54-23-W4,TGTR,Beitty/Bow River,3N,19.4,450,8-May-24
Birch Lake,,SE18-35-6-W5,BNTR,Bow River,3N,20,500,6-Jun-24
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,3N,20.4,2500,23-Apr-24
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,2N,55.2,109,23-Apr-24
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,BNTR,Bow River,2N,41.5,72,23-Apr-24
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,BNTR,Bow River,3N,20.3,1000,10-May-24
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,19.8,1500,3-May-24
Dolberg Lake,,SE1-60-8-W5,BNTR,Bow River,3N,20.2,1400,30-Apr-24
East Dollar Lake,,NW8-73-21-W5,BNTR,Bow River,3N,20.1,500,7-May-24
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,19.8,200,3-May-24
Lees Lake,,SW8-7-2-W5,BNTR,Bow River,3N,19.5,1000,11-Apr-24
Michel Reservoir,"Michel Creek
Reservoir",NE5-7-3-W4,BNTR,Bow River,3N,19.5,1500,25-Apr-24
Mitchell Lake,,NE25-37-8-W5,BNTR,Bow River,3N,20.5,500,6-May-24
Moonshine Lake,Mirage Lake,SE31-79-8-W6,BNTR,Bow River,3N,20.4,500,8-May-24
Muir Lake,,NW32-53-27-W4,BNTR,Bow River,3N,20.1,500,1-May-24
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,20.3,5323,30-May-24
Pierre Greys Lakes,"Upper Pierre
Greys Lake",SW7-57-4-W6,BNTR,Bow River,3N,20.5,1000,9-May-24
Spring Lake,Cottage,SW30-52-1-W5,BNTR,Bow River,3N,20.2,500,1-May-24
Star Lake,,NE19-52-2-W5,BNTR,Bow River,3N,20.2,500,30-Apr-24
Unnamed,Beaumont Pond,NW27-50-24-W4,BNTR,Bow River,3N,20.3,241,3-May-24
Unnamed,Cardiff Park Pond,SW24-55-25-W4,BNTR,Bow River,3N,20.2,500,30-Apr-24
Unnamed,Coronation Reservoir,SW24-36-11-W4,BNTR,Bow River,3N,20.7,1000,17-Apr-24
Unnamed,Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River,3N,19.8,2350,2-May-24
Unnamed,East Stormwater Pond,SE29-40-26-W4,BNTR,Bow River,3N,20.4,100,30-Apr-24
Unnamed,Heritage Lake,NW33-55-25-W4,BNTR,Bow River,3N,20.8,500,29-Apr-24
Unnamed,Hermitage Park Pond,NE18-53-23-W4,BNTR,Bow River,3N,20.1,300,1-May-24
Unnamed,Kerbe's Pond,NE19-36-20-W4,BNTR,Bow River,3N,20.7,250,17-Apr-24
Unnamed,Mitford Ponds,SE4-26-4-W5,BNTR,Bow River,3N,19.4,61,3-May-24
Unnamed,Morinville Fish and Game Pond,NW4-56-25-W4,BNTR,Bow River,3N,20.8,222,29-Apr-24
Unnamed,Nicholas Sheran Park Pond,SE26-8-22-W4,BNTR,Bow River,3N,18.5,1000,10-Apr-24
Unnamed,Nicholas Sheran Park Pond,SE26-8-22-W4,BKTR,Bow River,2N,38,268,11-Apr-24
Unnamed,Pit 24,NE4-47-19-W5,BNTR,Bow River,3N,20.6,250,23-May-24
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,BNTR,Bow River,3N,19.7,193,25-Apr-24
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,BNTR,Bow River,3N,19.5,400,3-May-24
Unnamed,Telegraph Park Pond,NW32-48-21-W4,BNTR,Bow River,3N,19.7,283,25-Apr-24
West Dollar Lake,,SE18-73-21-W5,BNTR,Bow River,3N,19.5,250,7-May-24
West Rivers Edge Pond,Fort Lions Park Pond,NE23-54-23-W4,BNTR,Bow River,3N,20.4,250,8-May-24
Beaver Lake,,NE16-35-6-W5,RNTR,Campbell Lake,3N,20,1250,8-May-24
Birch Lake,,SE18-35-6-W5,RNTR,Campbell Lake,3N,20.8,1750,6-Jun-24
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,10400,22-Apr-24
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,7326,16-May-24
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Campbell Lake,2N,20,2000,17-Apr-24
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,20.3,3200,10-May-24
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,10.2,5000,13-May-24
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.6,990,22-Apr-24
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,21,4510,26-Apr-24
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,2N,19.9,4000,2-May-24
Crowsnest Lake,,NE8-8-5-W5,RNTR,Campbell Lake,3N,20,7500,11-May-24
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,20,4000,24-Apr-24
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,10.5,10000,17-May-24
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,10.5,10000,17-May-24
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,20.3,3200,30-Apr-24
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,10.2,5000,13-May-24
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,2N,10.1,10000,24-May-24
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,19.9,8000,10-May-24
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,20.4,4000,30-Apr-24
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,9.9,10000,16-May-24
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,2N,20,2000,3-May-24
Lac La Biche Trout Pond,Alexander Hamilton Pond,NW5-67-13-W4,RNTR,Campbell Lake,2N,20.3,240,9-May-24
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Campbell Lake,2N,10.9,10000,3-Jun-24
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Campbell Lake,2N,20.8,4403,11-Jun-24
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,20,3204,16-May-24
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,19.5,14097,16-May-24
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,19.5,7156,17-May-24
Michel Reservoir,"Michel Creek
Reservoir",NE5-7-3-W4,RNTR,Campbell Lake,2N,20.2,3000,25-Apr-24
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,20,5275,16-May-24
