Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,"Average
Length (cm)",Number Stocked,Stocking Date
Chrystina Lake,,NW8-67-8-W5,BKTR,Beitty Resort,3N,21.7,1550,14-05-2024
"Claude N. Brennan
Memorial Pond","Vermilion Park
Pond",NE36-50-7-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,1250,08-05-2024
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8,23199,03-05-2024
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8.2,22088,03-05-2024
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8.2,4713,03-05-2024
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,19.8,1500,03-05-2024
Cow Lake,,NE12-38-8-W5,RNTR,Trout Lodge/Silver's,AF3N,15.5,25102,23-05-2024
Cow Lake,,NE12-38-8-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,20,8043,23-05-2024
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,20,10000,23-09-2024
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,18.3,10000,23-09-2024
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,18.5,7775,26-09-2024
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,18.9,7110,26-09-2024
Crane Lake,Moore Lake,NE3-64-4-W4,WALL,Marie Creek,2N,0.04,282720,30-05-2024
Crane Lake,Moore Lake,NE3-64-4-W4,WALL,Marie Creek,2N,0.04,60370,02-06-2024
Crowsnest Lake,,NE8-8-5-W5,RNTR,Campbell Lake,3N,20,7500,11-05-2024
Crowsnest Lake,,NE8-8-5-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,2500,25-05-2024
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,20,4000,24-04-2024
Dillberry Lake,,NE36-41-1-W4,RNTR,Pit Lakes,2N,17.8,7000,24-04-2024
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,19.9,2000,24-04-2024
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,10.5,10000,17-05-2024
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,10.5,10000,17-05-2024
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,18.1,10000,01-10-2024
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,8.4,20000,01-10-2024
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,20.3,3200,30-04-2024
Dolberg Lake,,SE1-60-8-W5,BNTR,Bow River,3N,20.2,1400,30-04-2024
Dolberg Lake,,SE1-60-8-W5,TGTR,Beitty/Bow River,3N,19.6,2000,30-04-2024
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,10.2,5000,13-05-2024
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,20.7,5000,20-09-2024
Dolberg Lake,,SE1-60-8-W5,TGTR,Beitty/Bow River,3N,10.6,7155,28-09-2024
Dunn Lake,,NW7-54-25-W5,BKTR,Beitty Resort,3N,19.2,1500,27-05-2024
East Dollar Lake,,NW8-73-21-W5,BNTR,Bow River,3N,20.1,500,07-05-2024
East Dollar Lake,,NW8-73-21-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,19.9,1500,07-05-2024
East Dollar Lake,,NW8-73-21-W5,TGTR,Beitty/Bow River,3N,19.5,300,07-05-2024
Edith Lake,,NE13-67-10-W5,BKTR,Beitty Resort,3N,21,1550,20-06-2024
Emerald Lake,,SW5-62-11-W5,BKTR,Beitty Resort,3N,21.7,1800,03-06-2024
Emerson Lake,,SW5-19-28-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,1400,03-05-2024
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,19.8,200,03-05-2024
Emerson Lake,,SW5-19-28-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.4,1400,13-06-2024
Emerson Lake,,SW5-19-28-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,30,50,13-06-2024
Emerson Lakes,,NW6-55-21-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,1125,30-05-2024
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,2N,10.1,10000,24-05-2024
Engstrom Lake,,NW17-83-6-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,6000,04-06-2024
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,3N,22.2,15000,16-09-2024
Fairfax Lake,,NW17-46-18-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,5000,21-05-2024
Fairfax Lake,,NW17-46-18-W5,RNTR,Trout Lodge/Silver's,AF3N,23.1,5000,19-09-2024
"Forty Mile Coulee
Reservoir",,SW14-8-11-W4,WALL,Lac Ste. Anne,2N,0.04,750000,29-05-2024
Goldeye Lake,,NE14-40-16-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.8,5000,07-05-2024
Goldeye Lake,,NE14-40-16-W5,RNTR,Trout Lodge/Silver's,AF3N,23.1,5000,19-09-2024
Goose Lake,,NW33-61-8-W5,WALL,Rock Island,2N,0.04,354097,04-06-2024
Grande Cache Lake,,NE1-57-8-W6,RNTR,Riverence,AF2N,9.2,13500,09-05-2024
Grande Cache Lake,,NE1-57-8-W6,RNTR,Riverence,AF2N,9.2,1500,09-05-2024
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,19.9,8000,10-05-2024
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,21.2,15000,16-09-2024
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,7.1,10000,18-09-2024
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Riverence,AF3N,22.8,803,13-05-2024
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Riverence,AF3N,23.1,1235,05-06-2024
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,24.6,400,18-07-2024
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,24.9,400,23-07-2024
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,20.4,4000,30-04-2024
Hasse Lake,,SW13-52-2-W5,TGTR,Beitty/Bow River,3N,19.6,500,30-04-2024
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,9.9,10000,16-05-2024
Hasse Lake,,SW13-52-2-W5,TGTR,Beitty/Bow River,3N,21.7,1500,07-10-2024
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,19,8100,09-10-2024
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,20.9,1900,09-10-2024
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,55,130,16-10-2024
Hinton F & G Pond,Hinton Borrow Pit,SW28-50-25-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.4,150,09-05-2024
Horseshoe Lake,,SW31-63-25-W4,BKTR,Beitty Resort,3N,7.6,12500,05-06-2024
Ironside Pond,,SW7-38-7-W5,TGTR,Beitty/Bow River,3N,20.1,400,03-05-2024
Ironside Pond,,SW7-38-7-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.3,250,03-05-2024
Ironside Pond,,SW7-38-7-W5,TGTR,Beitty/Bow River,3N,23,400,16-09-2024
Island Lake,,NW12-8-6-W5,RNTR,Pit Lakes,3N,19.1,1900,16-05-2024
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,2N,20,2000,03-05-2024
Jack Fish Lake,,NW20-53-9-W4,TGTR,Beitty/Bow River,3N,20.1,1000,03-05-2024
Jack Fish Lake,,NW20-53-9-W4,RNTR,Riverence,AF2N,8.5,5000,03-05-2024
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,2N,20.7,3000,01-10-2024
Kakut Lake,,SW34-76-4-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,750,08-05-2024
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,19.3,3300,30-05-2024
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,24.6,3066,17-09-2024
"Lac La Biche Trout
Pond","Alexander
Hamilton Pond",NW5-67-13-W4,RNTR,Campbell Lake,2N,20.3,240,09-05-2024
