Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,,Average,Number,Stocking Date
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,1200,2025-04-30
Unnamed,Boulder Lake,NE18-39-27-W4,TGTR,Beitty/Bow River,3N,20.3,200,2025-04-30
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout/Lodge/Kamloops,AF3N,23.1,1000,2025-09-17
Unnamed,Hermitage Park,NE18-53-23-W4,BNTR,Bow River,3N,19.4,300,2025-05-07
Unnamed,Hermitage Park,NE18-53-23-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,1395,2025-05-07
Unnamed,Hermitage Park,NE18-53-23-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.6,1000,2025-06-05
Unnamed,Hermitage Park,NE18-53-23-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,2300,2025-06-10
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Riverence,AF3N,23.7,1000,2025-05-12
Unnamed,Kerbe's Pond,NE19-36-20-W4,TGTR,Beitty/Bow River,3N,19.8,1000,2025-05-12
Unnamed,Kerbe's Pond,NE19-36-20-W4,BNTR,Bow River,3N,19.8,250,2025-05-12
Star Lake,,NE19-52-2-W5,RNTR,Riverence,AF2N,20.2,8040,2025-04-28
Star Lake,,NE19-52-2-W5,BNTR,Bow River,3N,18.8,1000,2025-04-28
Star Lake,,NE19-52-2-W5,TGTR,Beitty/Bow River,3N,19.6,1000,2025-04-28
Unnamed,Jarvis Creek,NE19-52-26-W5,RNTR,Riverence,AF3N,23.3,700,2025-05-14
Two Lakes,North Two Lake,NE20-62-12-W6,RNTR,Trout/Lodge/Kamloops,AF3N,18.4,7200,2025-05-28
Unnamed,Figure Eight Lake,NE20-84-25-W5,RNTR,Campbell Lake,3N,20.3,9000,2025-05-15
Unnamed,Valleyview,NE21-70-22-W5,RNTR,Riverence,AF2N,23.6,500,2025-05-12
Unnamed,Gooseberry Park,NE22-36-6-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,3000,2025-05-06
West Rivers Edge,Fort Lions Park,NE23-54-23-W4,RNTR,Trout,AF3N,20.1,800,2025-05-06
West Rivers Edge,Fort Lions Park,NE23-54-23-W4,TGTR,Beitty/Bow River,3N,20.4,200,2025-05-06
West Rivers Edge,Fort Lions Park,NE23-54-23-W4,BNTR,Bow River,3N,19.1,250,2025-05-06
West Rivers Edge,Fort Lions Park,NE23-54-23-W4,TGTR,Beitty/Bow River,3N,20.4,250,2025-05-12
West Rivers Edge,Fort Lions Park,NE23-54-23-W4,RNTR,Trout,AF3N,20.6,1000,2025-05-29
West Rivers Edge,Fort Lions Park,NE23-54-23-W4,RNTR,Trout,AF3N,32,50,2025-05-29
Unnamed,Burn's Reservoir,NE23-6-30-W4,CTTR,Allison Creek,2N,13.2,1000,2025-05-16
Unnamed,Spring Lake,NE23-75-11-W6,RNTR,Campbell Lake,3N,21.7,3840,2025-05-15
Unnamed,Spring Lake,NE23-75-11-W6,RNTR,Campbell Lake,3N,20,2560,2025-05-15
