Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,,Average,Number,Stocking Date
Allstones Lake,,NW30-38-17-W5,BKTR,Beitty Resort,3N,12.1,650,2025-09-25
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Riverence,AF2N,20.3,5000,2025-05-02
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,20,2000,2025-05-02
Ole Lake,,NW30-84-12-W6,RNTR,Campbell Lake,2N,20.6,3000,2025-05-21
Unnamed,Granum Pond,NW31-10-26-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,600,2025-05-01
Minnow Lake,,NW31-50-14-W5,WALL,Rock Island,2N,0.4,187000,2025-06-04
Unnamed,Telegraph Park,NW32-48-21-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,1100,2025-04-23
Unnamed,Telegraph Park,NW32-48-21-W4,BKTR,Beitty Resort,3N,20.2,1200,2025-04-23
Unnamed,Telegraph Park,NW32-48-21-W4,BNTR,Bow River,3N,18.8,193,2025-04-23
Unnamed,Telegraph Park,NW32-48-21-W4,RNTR,Trout/Lodge/Jumpers,AF3N,29.1,1000,2025-10-02
Unnamed,Telegraph Park,NW32-48-21-W4,RNTR,Campbell Lake,3N,20.4,1000,2025-10-02
Unnamed,Telegraph Park,NW32-48-21-W4,RNTR,Trout/Lodge/Kamloops,AF3N,23.9,577,2025-10-10
Fickle Lake,,NW32-51-19-W5,WALL,Rock Island,2N,0.4,343980,2025-06-04
Muir Lake,,NW32-53-27-W4,BNTR,Bow River,3N,18.9,500,2025-05-01
Muir Lake,,NW32-53-27-W4,RNTR,Riverence,AF3N,23.1,1500,2025-05-01
Muir Lake,,NW32-53-27-W4,RNTR,Riverence,AF3N,20,1500,2025-05-01
Marigold Lake,,NW32-65-11-W5,BKTR,Beitty Resort,3N,11.7,70000,2025-09-18
Unnamed,Elk Creek Pond,NW33-35-12-W5,RNTR,Riverence,AF3N,20,500,2025-05-26
Unnamed,Heritage Lake,NW33-55-25-W4,BKTR,Beitty Resort,3N,19.6,1600,2025-04-29
Unnamed,Heritage Lake,NW33-55-25-W4,BNTR,Bow River,3N,19.1,1000,2025-04-29
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.2,2050,2025-04-29
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,2000,2025-06-10
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Campbell Lake,3N,20.3,340,2025-09-29
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Trout/Lodge/Kamloops,AF3N,24.1,2660,2025-09-29
Goose Lake,,NW33-61-8-W5,WALL,Rock Island,2N,0.4,272700,2025-06-01
Unnamed,Oyen (Concrete,NW34-27-4-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,300,2025-05-06
Bear Pond,,NW36-14-4-W5,TGTR,Beitty/Bow River,3N,21.2,750,2025-06-03
Unnamed,Elk Point Pond,NW36-56-7-W4,BKTR,Beitty Resort,3N,20.2,500,2025-04-25
Unnamed,Elk Point Pond,NW36-56-7-W4,RNTR,Riverence,AF2N,22.8,900,2025-04-30
Unnamed,Elk Point Pond,NW36-56-7-W4,TGTR,Beitty/Bow River,3N,22.2,150,2025-04-30
Mary Gregg Lake,,NW4-48-24-W5,RNTR,Trout/Lodge/Kamloops,AF3N,18.1,4000,2025-06-12
Unnamed,Morinville Fish,NW4-56-25-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.2,1425,2025-04-29
Unnamed,Morinville Fish,NW4-56-25-W4,BNTR,Bow River,3N,19,100,2025-04-29
Unnamed,Morinville Fish,NW4-56-25-W4,RNTR,Trout/Lodge/Jumpers,AF3N,29.1,1100,2025-10-03
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.4,5000,2025-04-10
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Pit Lakes,2N,28,50,2025-09-29
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Campbell Lake,3N,20.4,3609,2025-10-01
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Campbell Lake,3N,20.4,1391,2025-10-01
Muskiki Lake,,NW5-45-20-W5,CTTR,Allison Creek,2N,13.4,2500,2025-05-26
Muskiki Lake,,NW5-45-20-W5,CTTR,Allison Creek,2N,19.2,2000,2025-09-17
Unnamed,Lacombe Park,NW5-54-25-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,500,2025-05-12
Unnamed,Lacombe Park,NW5-54-25-W4,BKTR,Beitty Resort,3N,19.4,600,2025-05-12
Unnamed,Mayan Lake,NW5-57-23-W5,RNTR,Trout/Lodge/Kamloops,AF3N,18.2,2000,2025-06-09
Lac La Biche Trout,Alexander,NW5-67-13-W4,RNTR,Riverence,AF2N,22.8,600,2025-05-01
Lac La Biche Trout,Alexander,NW5-67-13-W4,RNTR,Campbell Lake,2N,23.8,600,2025-09-25
Sparrow's Egg Lake,,NW6-20-8-W5,CTTR,Allison Creek,2N,14.1,900,2025-06-03
Pierre Greys Lakes Middle Pierre,,NW6-57-4-W6,RNTR,Trout,AF3N,19.6,15000,2025-05-26
Dunn Lake,,NW7-54-25-W5,BKTR,Beitty Resort,3N,20.9,3000,2025-05-28
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,20.7,1600,2025-05-02
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,20.8,6000,2025-05-05
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,TGTR,Bow River,3N,22.9,2000,2025-05-05
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,BNTR,Bow River,3N,19.3,1000,2025-05-22
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,18.6,3000,2025-09-15
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,3N,19.9,3000,2025-09-15
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,24.4,3000,2025-09-15
Lily Lake,,NW7-75-5-W5,TGTR,Beitty/Bow River,3N,30.6,325,2025-09-18
Lily Lake,,NW7-75-5-W5,TGTR,Beitty/Bow River,3N,10.9,200,2025-09-18
Lily Lake,,NW7-75-5-W5,BKTR,Beitty Resort,3N,11.7,3660,2025-09-18
Unnamed,Weberville Pond,NW7-85-21-W5,RNTR,Campbell Lake,2N,20.8,1000,2025-05-13
Sulphur Lake,,NW7-89-2-W6,BKTR,Beitty Resort,3N,19.8,4500,2025-05-20
Unnamed,Enchant Pond,NW8-14-18-W4,TGTR,Beitty/Bow River,3N,20.3,200,2025-04-17
Unnamed,Enchant Pond,NW8-14-18-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,2000,2025-04-18
Lambert Pond,,NW8-53-17-W5,RNTR,Trout/Lodge/Kamloops,AF3N,17.8,2000,2025-05-15
Chrystina Lake,,NW8-67-8-W5,BKTR,Beitty Resort,3N,19.1,2600,2025-05-22
East Dollar Lake,,NW8-73-21-W5,BNTR,Bow River,3N,19.1,500,2025-05-12
East Dollar Lake,,NW8-73-21-W5,RNTR,Campbell Lake,3N,20.2,3000,2025-05-12
East Dollar Lake,,NW8-73-21-W5,TGTR,Bow River,3N,23.7,300,2025-05-12
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,TGTR,Beitty/Bow River,3N,20.3,250,2025-04-30
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,RNTR,Trout/Lodge/Kamloops,AF3N,23.1,500,2025-09-17
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,20.6,8000,2025-05-20
Burnstick Lake,,SE11-35-7-W5,WALL,Lac Ste. Anne,2N,6.1,1805,2025-07-23
Unnamed,Bathing Lake,SE11-4-1-W5,CTTR,Allison Creek,2N,13.2,1000,2025-05-15
Medley River,,SE11-65-2-W4,RNTR,Campbell Lake,3N,22.1,1500,2025-06-12
Pierre Greys Lakes Lower Pierre,,SE12-57-5-W6,RNTR,Trout,AF3N,17.7,7000,2025-05-15
Unnamed,Hiller's Reservoir,SE13-32-29-W4,RNTR,Riverence,AF2N,20,7500,2025-04-17
Unnamed,Innisfree Trout,SE13-51-12-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,400,2025-04-25
Unnamed,Innisfree Trout,SE13-51-12-W4,BKTR,Beitty Resort,3N,20.2,600,2025-04-25
Unnamed,Nuggent Pond,SE14-44-3-W5,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,600,2025-05-05
Unnamed,Burmis Lake,SE14-7-3-W5,CTTR,Allison Creek,2N,12.5,1000,2025-04-30
Unnamed,Bellis Beach Lake,SE15-59-15-W4,RNTR,Campbell Lake,2N,20.9,14000,2025-05-06
Unnamed,Midway Reservoir,SE16-30-27-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,1800,2025-04-18
Phyllis Lake,,SE17-36-7-W5,RNTR,Trout,AF3N,20.1,10000,2025-05-03
Birch Lake,,SE18-35-6-W5,BNTR,Bow River,3N,19.4,500,2025-05-07
Birch Lake,,SE18-35-6-W5,RNTR,Riverence,AF3N,20,3500,2025-05-07
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,19.3,5000,2025-05-07
West Dollar Lake,,SE18-73-21-W5,BNTR,Bow River,3N,19.1,250,2025-05-12
West Dollar Lake,,SE18-73-21-W5,RNTR,Campbell Lake,3N,20.2,1000,2025-05-12
Sawn Lake,,SE18-92-12-W5,WALL,Graham Lake,2N,0.4,1984992,2025-06-06
Hogarth Lakes Lower Hogarth,,SE21-21-10-W5,CTTR,Allison Creek,2N,4.2,1200,2025-09-09
Hogarth Lakes Upper Hogarth,,SE21-21-10-W5,CTTR,Allison Creek,2N,4.2,1200,2025-09-09
Unnamed,East Pit Lake,SE23-53-4-W5,RNTR,Pit Lakes,2N,22,11600,2025-05-07
Unnamed,Lower Smuts,SE24-21-11-W5,CTTR,Allison Creek,2N,4.2,200,2025-09-09
Unnamed,Upper Smuts,SE24-21-11-W5,CTTR,Allison Creek,2N,4.2,200,2025-09-09
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Pit Lakes,3N,20.9,9900,2025-05-07
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,10000,2025-05-12
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,21.9,12000,2025-05-23
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout/Lodge/Kamloops,AF3N,17.8,20500,2025-06-02
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout/Lodge/Kamloops,AF3N,18.4,10000,2025-06-03
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF2N,23.9,4000,2025-06-03
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout/Lodge/Kamloops,AF3N,17.1,16700,2025-06-12
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout/Lodge/Kamloops,AF3N,17.9,14300,2025-06-12
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,18.9,10150,2025-09-24
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,17.9,5390,2025-09-24
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,19.5,10645,2025-09-29
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,18.9,9740,2025-09-29
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,18.6,16134,2025-09-29
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,17.9,4281,2025-10-01
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,20.4,10590,2025-10-01
Parker Lake,,SE25-70-5-W5,RNTR,Trout/Lodge/Jumpers,AF3N,5.9,7000,2025-09-18
Three Isle Lake,,SE26-19-10-W5,CTTR,Allison Creek,2N,4.2,3300,2025-09-09
Unnamed,Pit 45,SE26-46-19-W5,RNTR,Trout/Lodge/Jumpers,AF3N,21.1,1100,2025-05-26
Unnamed,Muskoseepi Pond,SE26-71-6-W6,RNTR,Riverence,AF2N,23.8,500,2025-05-15
Unnamed,Nicholas Sheran,SE26-8-22-W4,BKTR,Beitty Resort,2N,40.1,250,2025-03-27
Unnamed,Nicholas Sheran,SE26-8-22-W4,BKTR,Beitty Resort,2N,40.1,250,2025-04-01
Unnamed,Nicholas Sheran,SE26-8-22-W4,BNTR,Bow River,3N,18,2000,2025-04-11
Unnamed,Nicholas Sheran,SE26-8-22-W4,RNTR,Riverence,AF3N,23.1,2000,2025-04-11
Unnamed,Nicholas Sheran,SE26-8-22-W4,BKTR,Beitty Resort,3N,19.5,2000,2025-04-11
Unnamed,Nicholas Sheran,SE26-8-22-W4,RNTR,Trout/Lodge/Jumpers,AF3N,29.1,1000,2025-10-01
Unnamed,Nicholas Sheran,SE26-8-22-W4,RNTR,Campbell Lake,3N,20.4,1500,2025-10-01
Unnamed,Crossfield Trout,SE27-28-1-W5,RNTR,Riverence,AF2N,22.86,1400,2025-04-24
Unnamed,Kraft Wimborne,SE28-33-26-W4,BKTR,Beitty Resort,3N,19.6,230,2025-05-01
Unnamed,Kraft Wimborne,SE28-33-26-W4,TGTR,Beitty/Bow River,3N,20.3,70,2025-05-01
Unnamed,Kraft Wimborne,SE28-33-26-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,180,2025-05-22
Commonwealth Lake Birdwood Lake,,SE29-21-10-W5,CTTR,Allison Creek,2N,4.2,400,2025-09-09
Unnamed,East Stormwater,SE29-40-26-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,1000,2025-04-30
Unnamed,East Stormwater,SE29-40-26-W4,BNTR,Bow River,3N,18.9,100,2025-05-01
Unnamed,Dewitt's Pond,SE31-26-1-W5,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,1000,2025-04-17
Unnamed,Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River,3N,19.3,2595,2025-05-15
Unnamed,Radway Fish,SE31-58-20-W4,RNTR,Riverence,AF2N,23.6,1040,2025-05-12
Moonshine Lake,Mirage Lake,SE31-79-8-W6,BNTR,Bow River,3N,19.7,1000,2025-05-20
Moonshine Lake,Mirage Lake,SE31-79-8-W6,RNTR,Trout/Lodge/Kamloops,AF3N,17.3,9300,2025-05-21
Moonshine Lake,Mirage Lake,SE31-79-8-W6,TGTR,Beitty/Bow River,3N,30.9,2350,2025-09-15
Unnamed,Nordegg Borrow,SE32-40-15-W5,RNTR,Riverence,AF3N,23,300,2025-05-29
Unnamed,Niton Lake,SE32-53-12-W5,RNTR,Riverence,AF3N,23.7,1500,2025-05-14
Unnamed,Little Beaverdam,SE34-1-28-W4,TGTR,Beitty/Bow River,3N,19.6,1000,2025-05-14
Unnamed,Castor Eastside,SE34-37-14-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.6,500,2025-05-29
Unnamed,Castor Eastside,SE34-37-14-W4,RNTR,Trout/Lodge/Kamloops,AF3N,32,40,2025-05-29
Stenton Lake,,SE35-25-10-W5,RNTR,Trout/Lodge/Jumpers,AF3N,5.4,400,2025-09-09
Schuman Lake,,SE35-61-8-W5,TGTR,Beitty/Bow River,3N,23.9,500,2025-05-20
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,20,9500,2025-05-20
Unnamed,Mitford Ponds,SE4-26-4-W5,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,350,2025-05-15
Unnamed,Mitford Ponds,SE4-26-4-W5,BNTR,Bow River,3N,19.1,61,2025-05-15
Unnamed,Bashaw Pond,SE4-42-21-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,500,2025-04-25
Unnamed,Bashaw Pond,SE4-42-21-W4,BKTR,Beitty Resort,3N,20.2,200,2025-04-25
Unnamed,Footner Pond,SE5-111-19-W5,RNTR,Riverence,AF2N,23.6,500,2025-05-13
Aster Lake,,SE5-19-9-W5,CTTR,Allison Creek,2N,4.2,1300,2025-09-09
Unnamed,Harleck Pond,SE5-41-14-W5,RNTR,Riverence,AF3N,20,400,2025-05-28
High Level Community High Level Town,,SE6-110-19-W5,RNTR,Riverence,AF2N,23.6,500,2025-05-13
Unnamed,Lloydminster,SE6-50-1-W4,RNTR,Riverence,AF2N,23,500,2025-04-29
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,19.8,1839,2025-05-20
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,19.1,8161,2025-05-20
Rattlesnake Lake Sauder,,SE8-12-8-W4,WALL,Lac Ste. Anne,2N,6.1,595,2025-07-25
Rattlesnake Lake Sauder,,SE8-12-8-W4,WALL,Lac Ste. Anne,2N,11.7,655,2025-09-26
Unnamed,St. Paul Fish,SE9-58-9-W4,BNTR,Bow River,3N,19.8,400,2025-05-02
Unnamed,St. Paul Fish,SE9-58-9-W4,RNTR,Riverence,AF2N,22.7,1800,2025-05-07
Unnamed,St. Paul Fish,SE9-58-9-W4,TGTR,Bow River,3N,22.9,300,2025-05-07
Unnamed,St. Paul Fish,SE9-58-9-W4,RNTR,Campbell Lake,2N,24.8,1000,2025-07-11
Unnamed,St. Paul Fish,SE9-58-9-W4,TGTR,Beitty/Bow River,3N,28.1,500,2025-07-11
Whiteridge Recreation,Blueridge Pit,SW1-60-10-W5,RNTR,Campbell Lake,3N,20.2,2100,2025-05-12
Windsor Lake,,SW10-42-22-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,1500,2025-04-30
Windsor Lake,,SW10-42-22-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.2,2000,2025-05-01
Unnamed,Shell True North,SW10-79-8-W6,BKTR,Beitty Resort,3N,19.4,590,2025-05-12
Unnamed,Shell True North,SW10-79-8-W6,TGTR,Beitty/Bow River,3N,23.9,50,2025-05-15
Eagle Lake,,SW11-32-11-W5,CTTR,Allison Creek,2N,18.2,750,2025-09-24
Rat Lake,,SW11-38-9-W5,TGTR,Beitty/Bow River,3N,30.6,700,2025-10-01
Rat Lake,,SW11-38-9-W5,TGTR,Beitty/Bow River,3N,10.6,500,2025-10-01
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,19.2,13062,2025-05-22
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,19.2,938,2025-05-26
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,9.1,5000,2025-09-25
Unnamed,Highway 40 Pond,SW12-69-6-W6,RNTR,Campbell Lake,2N,20.6,1000,2025-05-21
Unnamed,Kids Can Catch,SW13-24-1-W5,RNTR,Riverence,AF3N,24.6,40,2025-04-30
Unnamed,Kids Can Catch,SW13-24-1-W5,RNTR,Riverence,AF3N,26.9,65,2025-07-17
Hasse Lake,,SW13-52-2-W5,RNTR,Riverence,AF3N,20,10000,2025-04-29
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,20.1,5580,2025-10-03
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,25.7,200,2025-10-03
Hasse Lake,,SW13-52-2-W5,TGTR,Beitty/Bow River,3N,20.3,1500,2025-04-29
Hasse Lake,,SW13-52-2-W5,TGTR,Beitty/Bow River,3N,26.8,500,2025-10-03
Unnamed,Wolf Creek Pond,SW13-53-16-W5,RNTR,Riverence,AF3N,23.1,750,2025-05-27
Unnamed,McQuillan,SW13-8-19-W4,RNTR,Riverence,AF2N,22.7,1900,2025-04-15
Unnamed,McQuillan,SW13-8-19-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.6,1400,2025-06-04
Maude Lake,,SW14-20-10-W5,CTTR,Allison Creek,2N,4.2,2300,2025-09-09
Unnamed,Strathmore,SW14-24-25-W4,TGTR,Beitty/Bow River,3N,19.9,150,2025-05-08
Forty Mile Coulee,,SW14-8-11-W4,WALL,Lac Ste. Anne,2N,10.2,976,2025-07-29
Unnamed,La Crete Pond,SW15-106-12-W5,RNTR,Campbell Lake,2N,20.8,1500,2025-05-13
Burstall Lakes,Upper Burstall,SW16-21-10-W5,CTTR,Allison Creek,2N,4.2,1200,2025-09-09
Tea Lakes,,SW16-67-7-W5,RNTR,Trout/Lodge/Jumpers,AF3N,5.9,6000,2025-09-18
Unnamed,Zama Community,SW18-117-4-W6,RNTR,Riverence,AF2N,23.6,500,2025-05-13
Unnamed,Helmer Reservoir,SW18-31-14-W4,RNTR,Riverence,AF2N,20.4,5000,2025-04-23
Unnamed,Helmer Reservoir,SW18-31-14-W4,RNTR,Riverence,AF2N,20.4,5000,2025-04-24
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,20,15000,2025-05-08
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,20.1,9393,2025-10-01
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,19.2,10617,2025-10-01
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,13.2,800,2025-05-16
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,400,2025-05-16
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,37.8,100,2025-06-25
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout/Lodge/Jumpers,AF3N,23,400,2025-06-25
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,15,800,2025-06-25
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,16.8,800,2025-07-17
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout/Lodge/Jumpers,AF3N,25.2,400,2025-07-17
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout/Lodge/Jumpers,AF3N,25.3,400,2025-07-31
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,17.2,600,2025-07-31
Michichi Reservoir,,SW19-30-18-W4,RNTR,Riverence,AF3N,20.1,4200,2025-04-23
Michichi Reservoir,,SW19-30-18-W4,RNTR,Riverence,AF2N,22.86,1400,2025-04-24
Entry Lake,,SW19-36-18-W5,CTTR,Allison Creek,2N,4.7,668,2025-09-25
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Riverence,AF3N,20.3,10000,2025-05-13
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Riverence,AF3N,20.3,10000,2025-05-13
Sibbald Meadows,,SW20-24-7-W5,RNTR,Riverence,AF3N,23.4,2000,2025-05-16
Sibbald Meadows,,SW20-24-7-W5,RNTR,Trout,AF3N,20.6,1395,2025-06-05
Sibbald Meadows,,SW20-24-7-W5,RNTR,Riverence,AF3N,23.7,605,2025-06-05
Unnamed,Pleasure Island,SW20-46-19-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,200,2025-04-23
Unnamed,Pleasure Island,SW20-46-19-W4,TGTR,Beitty/Bow River,3N,19.3,200,2025-04-23
Unnamed,Pleasure Island,SW20-46-19-W4,BKTR,Beitty Resort,3N,20.2,1070,2025-04-23
Unnamed,Pleasure Island,SW20-46-19-W4,BNTR,Bow River,3N,18.9,160,2025-04-23
Unnamed,Pleasure Island,SW20-46-19-W4,RNTR,Trout/Lodge/Jumpers,AF3N,29.1,1200,2025-10-02
Unnamed,Pleasure Island,SW20-46-19-W4,RNTR,Campbell Lake,3N,20.4,1000,2025-10-02
Unnamed,Texaco Pond,SW20-88-8-W4,RNTR,Campbell Lake,2N,21,1500,2025-05-08
Unnamed,By The Lake Park,SW22-46-24-W4,RNTR,Riverence,AF2N,20.2,5000,2025-04-25
Unnamed,Mclaren's,SW23-33-18-W4,RNTR,Riverence,AF3N,20.6,4200,2025-04-23
Unnamed,Mclaren's,SW23-33-18-W4,RNTR,Riverence,AF2N,22.86,1400,2025-04-24
Jessie Lake,,SW23-68-7-W5,RNTR,Trout,AF3N,5.9,3500,2025-09-18
Unnamed,Cecil Thompson,SW23-83-21-W5,RNTR,Campbell Lake,2N,20.8,1000,2025-05-13
Unnamed,Coronation,SW24-36-11-W4,RNTR,Riverence,AF2N,20,5300,2025-04-22
Unnamed,Coronation,SW24-36-11-W4,TGTR,Beitty/Bow River,3N,19.9,1000,2025-04-22
Unnamed,Coronation,SW24-36-11-W4,BNTR,Bow River,3N,18.7,1000,2025-04-22
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Riverence,AF2N,20.2,11500,2025-04-28
Unnamed,Cardiff Park Pond,SW24-55-25-W4,BNTR,Bow River,3N,19.1,500,2025-05-01
Unnamed,Cardiff Park Pond,SW24-55-25-W4,TGTR,Beitty/Bow River,3N,19.6,2550,2025-05-01
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,19.2,5000,2025-09-25
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,3N,20.4,5000,2025-10-03
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Trout/Lodge/Jumpers,AF3N,29.1,612,2025-10-03
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Riverence,AF3N,23.3,1830,2025-04-10
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Trout/Lodge/Jumpers,AF3N,29.1,1000,2025-10-02
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Campbell Lake,3N,20.4,1500,2025-10-02
Unnamed,Coleman Fish,SW24-8-5-W5,CTTR,Allison Creek,2N,14,1600,2025-05-30
Unnamed,Anderson Dam,SW25-28-21-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,900,2025-04-17
Unnamed,Kramer Pond,SW25-45-6-W5,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,3500,2025-05-09
Unnamed,Kramer Pond,SW25-45-6-W5,RNTR,Campbell Lake,3N,20.4,1500,2025-10-01
Unnamed,Shemeluk Lake,SW25-60-17-W4,RNTR,Pit Lakes,2N,22.3,6000,2025-05-06
Unnamed,Pit 35,SW26-46-19-W5,RNTR,Trout/Lodge/Jumpers,AF3N,21.1,390,2025-05-26
Unnamed,Magrath,SW26-5-22-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,500,2025-05-01
Unnamed,Magrath,SW26-5-22-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,300,2025-06-13
Unnamed,Magrath,SW26-5-22-W4,RNTR,Trout/Lodge/Kamloops,AF3N,30,25,2025-06-13
Salter's Lake,,SW26-54-2-W5,RNTR,Riverence,AF2N,20.3,7500,2025-05-08
Salter's Lake,,SW26-54-2-W5,TGTR,Beitty/Bow River,3N,19.9,2000,2025-05-08
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,20.4,2500,2025-10-09
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,3N,25.7,2681,2025-10-09
Spruce Coulee,,SW26-8-2-W4,BKTR,Beitty Resort,3N,19.6,8500,2025-05-09
Spruce Coulee,,SW26-8-2-W4,BKTR,Beitty Resort,3N,12.2,15000,2025-09-23
Spruce Coulee,,SW26-8-2-W4,BNTR,Bow River,3N,13,7004,2025-10-09
Unnamed,Allison Lake,SW27-8-5-W5,CTTR,Allison Creek,2N,13.2,2500,2025-05-29
Unnamed,Allison Lake,SW27-8-5-W5,CTTR,Allison Creek,2N,35,41,2025-09-16
Unnamed,Allison Lake,SW27-8-5-W5,CTTR,Allison Creek,2N,20,1068,2025-09-16
Unnamed,Md Peace Pond,SW27-83-23-W5,RNTR,Riverence,AF2N,23.6,1000,2025-05-13
