Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Average Length (cm),Number Stocked,Stocking Date
,,SE12-57-5-W6,RNTR,Trout Lodge/Jumpers,20.2,3500,2024-05-09
,,NW6-57-4-W6,RNTR,Trout Lodge/Jumpers,20.4,7500,2024-05-09
,,SW7-57-4-W6,BKTR,Beitty Resort,19.2,3500,2024-05-09
,,SW7-57-4-W6,BNTR,Bow River,20.5,1000,2024-05-09
,,NE31-59-25-W4,RNTR,Trout Lodge/Kamloops,20.9,1200,2024-05-09
,,NW20-8-1-W4,TGTR,Beitty/Bow River,19.4,3500,2024-04-24
,,NW20-8-1-W4,RNTR,Campbell Lake,20.1,6400,2024-04-24
,,SW26-54-2-W5,TGTR,Beitty/Bow River,19.5,2000,2024-05-01
,,SW26-54-2-W5,RNTR,Campbell Lake,20.1,2332,2024-05-01
,,SW26-54-2-W5,RNTR,Campbell Lake,19.2,668,2024-05-01
,,SW5-49-4-W5,RNTR,Campbell Lake,20.8,1250,2024-05-01
,,NE28-53-1-W5,RNTR,Campbell Lake,20.3,2400,2024-05-01
,,SW19-40-15-W5,RNTR,Campbell Lake,20.1,7644,2024-05-07
,,SW19-40-15-W5,RNTR,Campbell Lake,20.3,2356,2024-05-07
,,SW30-52-1-W5,TGTR,Beitty/Bow River,20.3,1500,2024-05-01
,,SW30-52-1-W5,BNTR,Bow River,20.2,500,2024-05-01
,,SW30-52-1-W5,RNTR,Campbell Lake,20.1,4000,2024-05-01
,,SW26-8-2-W4,BKTR,Beitty Resort,18.8,5000,2024-04-25
,,NE19-52-2-W5,TGTR,Beitty/Bow River,19.6,1000,2024-04-30
,,NE19-52-2-W5,BNTR,Bow River,20.2,500,2024-04-30
,,NE19-52-2-W5,RNTR,Campbell Lake,20.4,3216,2024-04-30
,,SW30-37-7-W5,RNTR,Campbell Lake,20.2,6400,2024-05-06
,,SW6-40-7-W5,RNTR,Campbell Lake,20.0,3500,2024-05-02
,,SW6-40-7-W5,RNTR,Campbell Lake,35.1,26,2024-05-08
,,SW5-25-2-W4,BKTR,Beitty Resort,18.5,2000,2024-04-23
,,SW5-25-2-W4,RNTR,Campbell Lake,20.2,2000,2024-04-23
,,SW25-28-21-W4,RNTR,Trout Lodge/Kamloops,20.5,900,2024-04-22
,,NW1-62-4-W4,RNTR,Campbell Lake,20.0,160,2024-05-03
,,NW17-48-3-W5,RNTR,Campbell Lake,20.0,3200,2024-04-29
,,SE4-42-21-W4,BKTR,Beitty Resort,19.1,200,2024-04-18
,,SE4-42-21-W4,RNTR,Trout Lodge/Jumpers,20.9,500,2024-04-18
,,SE11-4-1-W5,RNTR,Pit Lakes,18.6,775,2024-05-09
,,NW27-50-24-W4,TGTR,Beitty/Bow River,19.7,200,2024-05-03
,,NW27-50-24-W4,BNTR,Bow River,20.3,241,2024-05-03
,,SE15-59-15-W4,RNTR,Campbell Lake,20.0,5600,2024-05-02
,,NW11-49-18-W4,TGTR,Beitty/Bow River,20.1,4000,2024-04-18
,,NW11-49-18-W4,RNTR,Campbell Lake,20.1,5000,2024-04-18
,,NW11-49-18-W4,RNTR,Riverence,7.7,10000,2024-04-18
,,NE18-39-27-W4,RNTR,Trout Lodge/Kamloops,20.5,1356,2024-04-24
,,NE18-39-27-W4,TGTR,Beitty/Bow River,20.2,200,2024-04-30
,,NE15-17-17-W4,RNTR,Trout Lodge/Kamloops,20.5,2000,2024-04-18
,,NE16-64-19-W4,RNTR,Trout Lodge/Jumpers,20.1,2200,2024-05-03
,,NE15-18-14-W4,RNTR,Campbell Lake,20.4,4000,2024-04-15
,,NE15-18-14-W4,RNTR,Riverence,7.4,10000,2024-04-15
,,NE26-49-1-W4,RNTR,Trout Lodge/Jumpers,20.9,1500,2024-05-02
,,SE14-7-3-W5,RNTR,Pit Lakes,18.9,1000,2024-05-10
,,NE23-6-30-W4,RNTR,Pit Lakes,18.6,1000,2024-05-09
,,SW22-46-24-W4,RNTR,Campbell Lake,20.7,2000,2024-04-29
,,SW24-55-25-W4,BNTR,Bow River,20.2,500,2024-04-30
,,SW24-55-25-W4,TGTR,Beitty/Bow River,19.6,2550,2024-04-30
,,SW24-55-25-W4,RNTR,Campbell Lake,20.0,4600,2024-04-30
,,SW8-32-1-W5,RNTR,Trout Lodge/Kamloops,20.5,1100,2024-04-22
,,NW4-6-20-W4,RNTR,Trout Lodge/Jumpers,20.0,2500,2024-04-10
,,SW24-36-11-W4,TGTR,Beitty/Bow River,18.6,1000,2024-04-17
,,SW24-36-11-W4,BNTR,Bow River,20.7,1000,2024-04-17
,,SW24-36-11-W4,RNTR,Campbell Lake,19.9,2120,2024-04-17
,,NW14-72-6-W6,TGTR,Beitty/Bow River,19.2,50,2024-05-08
,,NW14-72-6-W6,RNTR,Trout Lodge/Jumpers,20.1,2000,2024-05-08
,,SE27-28-1-W5,RNTR,Trout Lodge/Jumpers,20.3,700,2024-05-01
,,NE9-45-16-W4,RNTR,Trout Lodge/Jumpers,21.3,400,2024-04-18
,,SE31-26-1-W5,RNTR,Trout Lodge/Kamloops,20.5,1100,2024-04-22
,,SE31-26-1-W5,BNTR,Bow River,19.8,2350,2024-05-02
,,NW13-35-3-W5,TGTR,Beitty/Bow River,20.3,1700,2024-05-01
,,NW13-35-3-W5,RNTR,Trout Lodge/Jumpers,20.0,9000,2024-05-01
,,NW13-35-3-W5,RNTR,Trout Lodge/Jumpers,20.7,1400,2024-05-08
,,NW1-41-16-W4,RNTR,Campbell Lake,20.3,2000,2024-04-18
,,NW1-41-16-W4,RNTR,Campbell Lake,35.1,55,2024-05-06
,,NW1-41-16-W4,TGTR,Beitty/Bow River,19.3,1500,2024-04-18
,,NW1-41-16-W4,RNTR,Campbell Lake,43.2,30,2024-04-25
,,SE23-53-4-W5,RNTR,Pit Lakes,18.6,8120,2024-05-03
,,SE29-40-26-W4,BNTR,Bow River,20.4,100,2024-04-30
,,NW33-35-12-W5,RNTR,Trout Lodge/Jumpers,20.7,250,2024-05-08
,,NW36-56-7-W4,BKTR,Beitty Resort,19.5,500,2024-05-03
,,NW36-56-7-W4,TGTR,Beitty/Bow River,20.1,150,2024-05-03
,,NW36-56-7-W4,RNTR,Campbell Lake,19.5,360,2024-05-03
,,NW8-14-18-W4,TGTR,Beitty/Bow River,20.0,200,2024-04-10
,,NW8-14-18-W4,RNTR,Trout Lodge/Kamloops,20.5,2000,2024-04-18
,,SW34-81-3-W6,RNTR,Trout Lodge/Jumpers,20.1,500,2024-05-08
,,NE12-35-6-W5,RNTR,Trout Lodge/Jumpers,20.2,275,2024-05-06
,,NE20-84-25-W5,RNTR,Trout Lodge/Jumpers,19.9,4500,2024-05-07
,,NW17-6-11-W4,RNTR,Trout Lodge/Kamloops,20.5,1500,2024-04-18
,,NE10-56-23-W4,RNTR,Trout Lodge/Kamloops,20.9,325,2024-05-09
,,NE6-2-15-W4,RNTR,Trout Lodge/Kamloops,20.5,2363,2024-04-18
,,NE22-36-6-W4,RNTR,Trout Lodge/Kamloops,20.5,3500,2024-04-23
,,NE29-38-3-W5,RNTR,Trout Lodge/Kamloops,20.5,1000,2024-04-24
,,SE5-41-14-W5,RNTR,Trout Lodge/Jumpers,20.6,400,2024-05-07
,,NW33-55-25-W4,BKTR,Beitty Resort,19.0,1600,2024-04-29
,,NW33-55-25-W4,BNTR,Bow River,20.8,500,2024-04-29
,,NW33-55-25-W4,RNTR,Trout Lodge/Jumpers,20.2,4050,2024-04-29
,,NE18-53-23-W4,RNTR,Trout Lodge/Kamloops,20.9,1100,2024-05-09
,,NE18-53-23-W4,BNTR,Bow River,20.1,300,2024-05-01
,,NE18-53-23-W4,RNTR,Trout Lodge/Jumpers,20.3,1295,2024-05-01
,,SW12-69-6-W6,RNTR,Trout Lodge/Jumpers,20.1,500,2024-05-08
,,NE35-87-9-W4,RNTR,Campbell Lake,20.1,400,2024-05-10
,,SE13-32-29-W4,RNTR,Campbell Lake,20.0,3000,2024-04-19
,,SW36-37-13-W4,TGTR,Beitty/Bow River,19.0,1250,2024-04-17
,,SW36-37-13-W4,RNTR,Campbell Lake,20.0,2400,2024-04-17
,,SW36-37-13-W4,RNTR,Riverence,7.6,5000,2024-04-17
,,SE13-51-12-W4,BKTR,Beitty Resort,19.2,600,2024-05-02
,,SE13-51-12-W4,RNTR,Trout Lodge/Jumpers,20.9,400,2024-05-02
,,SW34-45-9-W4,RNTR,Trout Lodge/Jumpers,20.9,200,2024-05-02
,,SW34-45-9-W4,BKTR,Beitty Resort,19.2,300,2024-05-02
,,NE19-36-20-W4,TGTR,Beitty/Bow River,19.5,1000,2024-04-17
,,NE19-36-20-W4,BNTR,Bow River,20.7,250,2024-04-17
,,NE19-36-20-W4,RNTR,Trout Lodge/Jumpers,20.7,500,2024-04-17
,,NE19-36-20-W4,RNTR,Campbell Lake,55.2,15,2024-04-25
,,SE28-33-26-W4,BKTR,Beitty Resort,19.8,230,2024-04-30
,,SE28-33-26-W4,TGTR,Beitty/Bow River,20.2,70,2024-04-30
,,SE28-33-26-W4,RNTR,Trout Lodge/Jumpers,20.4,180,2024-04-30
,,SW25-45-6-W5,RNTR,Trout Lodge/Jumpers,20.5,1750,2024-05-03
,,NW5-54-25-W4,RNTR,Trout Lodge/Jumpers,20.3,500,2024-04-30
,,SW27-55-19-W4,RNTR,Trout Lodge/Kamloops,20.9,2000,2024-05-08
,,NE25-61-5-W4,RNTR,Campbell Lake,20.0,160,2024-05-03
,,NE27-49-25-W4,RNTR,Campbell Lake,20.7,1310,2024-04-29
,,NE27-49-25-W4,RNTR,Campbell Lake,20.0,690,2024-04-29
,,NW29-40-26-W4,TGTR,Beitty/Bow River,19.7,650,2024-04-30
,,NW29-40-26-W4,RNTR,Trout Lodge/Jumpers,20.3,1792,2024-04-30
,,SE6-50-1-W4,RNTR,Campbell Lake,20.0,200,2024-05-03
,,SW13-8-19-W4,RNTR,Trout Lodge/Jumpers,19.9,1900,2024-04-10
,,SW33-12-21-W4,RNTR,Trout Lodge/Jumpers,20.0,1155,2024-04-10
,,SW33-12-21-W4,TGTR,Beitty/Bow River,20.0,400,2024-04-10
,,SE16-30-27-W4,RNTR,Trout Lodge/Kamloops,20.5,2000,2024-04-22
,,NE35-69-14-W4,RNTR,Campbell Lake,20.1,4400,2024-05-10
,,SE4-26-4-W5,BNTR,Bow River,19.4,61,2024-05-03
,,SE4-26-4-W5,RNTR,Trout Lodge/Jumpers,20.9,350,2024-05-03
,,NW4-56-25-W4,BNTR,Bow River,20.8,222,2024-04-29
,,NW4-56-25-W4,RNTR,Trout Lodge/Jumpers,20.2,1425,2024-04-29
,,NW11-45-28-W4,RNTR,Trout Lodge/Kamloops,20.4,3000,2024-05-07
,,SE26-71-6-W6,RNTR,Trout Lodge/Jumpers,20.1,250,2024-05-08
,,NE17-78-5-W6,RNTR,Trout Lodge/Jumpers,20.1,250,2024-05-08
,,SE26-8-22-W4,RNTR,Riverence,22.5,1000,2024-04-10
,,SE26-8-22-W4,BNTR,Bow River,38.0,268,2024-04-11
,,SE26-8-22-W4,BKTR,Beitty Resort,19.7,1000,2024-04-10
,,SE26-8-22-W4,BNTR,Bow River,18.5,1000,2024-04-10
