,,,,
Wolf Creek Pond (SW 13-53-16-W5) ,ES3,17,32,SW 13-53-16-W5
East Dollar Lake (NW 8-73-21-W5),ES4,18,32,NW 8-73-21-W5
Fox Creek Trout Pond (NW 13-63-20-W5),ES4,22,37,NW 13-63-20-W5
Grande Cache Lake (NE 1-57-8-W6),ES4,19,32,NE 1-57-8-W6
Highway 40 Pond (SW 12-69-6-W6),ES4,17,31,SW 12-69-6-W6
Kakut Pond (NE27-76-04-W6),ES4,12,26,SW34-76-4-W6
Muskoseepi Pond (SE 26-71-6-W6),ES4,17,31,SE 26-71-6-W6
Pierre Greys Lake (NW 6-57-4-W6),ES4,19,32,NW 6-57-4-W6
PIerre Greys Lake(SW 7-57-4-W6)  ,ES4,18,31,SW 7-57-4-W6
Spring Lake (NE 23-75-11-W6),ES4,13,28,NE 23-75-11-W6
Swan Lake (SW 18-70-25-W5),ES4,11,26,SW 18-70-25-W5
Two Lakes (NE 20-62-12-W6),ES4,11,26,NE 20-62-12-W6
Two Lakes (NE7-62-12-W6),ES4,11,24,NE7-62-12-W6
Valleyview Children’s Pond (NE21-70-22-W6),ES4,28,43,NE21-70-22-W5
Victor Lake (SE35-56-8-W5),ES4,13,27,SW35-56-8-W6
West Dollar Lake (SE 18-73-21-W5) ,ES4,18,33,SE 18-73-21-W5
Bow City East Ponds (NE 15-17-17-W4),PP1,21,36,NE 15-17-17-W4
Brooks Aquaduct Pond (NE 15-18-14-W4),PP1,22,37,NE 15-18-14-W4
Cavan Lake (SW 30-11-3-W4),PP1,12,26,SW 30-11-3-W4
Echo Dale Regional Park Pond (SE 5-13-6-W4),PP1,30,43,SE 5-13-6-W4
Emerson Lake (SW 5-19-28-W4),PP1,14,28,SW 5-19-28-W4
Enchant Pond (NW 8-14-18-W4),PP1,14,28,NW 8-14-18-W4
Foremost Reservoir (NW 17-6-11-W4),PP1,20,34,NW 17-6-11-W4
Goldspring Park Pond (NE 6-2-15-W4),PP1,22,35,NE 6-2-15-W4
Magrath Childrens Pond (SW 26-5-22-W4),PP1,24,38,SW 26-5-22-W4
Mcquillan Reservoir (SW 13-8-19-W4),PP1,21,35,SW 13-8-19-W4
Nicholas Sheran Park Pond (SE 26-8-22-W4),PP1,27,41,SE 26-8-22-W4
Riverstone Pond (SW 24-8-22-W4),PP1,17,31,SW 24-8-22-W4
Spring Coulee Park Pond (NE 12-5-24-W4),PP1,25,39,NE 12-5-24-W4
Stirling Children’s Pond (SW 29-6-19-W4),PP1,26,40,SW 29-6-19-W4
Strathmore Children’s Pond (SW 14-24-25-W4),PP1,28,43,SW 14-24-25-W4
Taber Trout Pond (NW 1-10-17-W4) ,PP1,18,32,NW 1-10-17-W4
Acadia Valley Reservoir (SW 5-25-2-W4),PP2,25,38,SW 5-25-2-W4
Anderson Dam (SW 25-28-21-W4),PP2,14,29,SW 25-28-21-W4
Ashland Reservoir (NW 17-48-3-W5),PP2,19,33,NW 17-48-3-W5
Bashaw Pond (SE 4-42-21-W4),PP2,13,27,SE 4-42-21-W4
Beaumont Pond (NW 27-50-24-W4),PP2,15,30,NW 27-50-24-W4
Black Nugget Mine Pit (NW 11-49-18-W4),PP2,23,38,NW 11-49-18-W4
Boulder Lake (NE 18-39-27-W4),PP2,14,29,NE 18-39-27-W4
Bud Miller Park Pond (NE 26-49-1-W4),PP2,22,36,NE 26-49-1-W4
By The Lake Park (SW 22-46-24-W4),PP2,18,33,SW 22-46-24-W4
Captain Eyre Lake (NW 30-38-5-W4),PP2,19,33,NW 30-38-5-W4
Cardiff Park Pond (SW 24-55-25-W4),PP2,19,34,SW 24-55-25-W4
Castaway Trout Pond (NE 35-47-13-W4),PP2,21,36,NE 35-47-13-W4
Castor Eastside Trout Pond (SE 34-37-14-W4),PP2,28,43,SE 34-37-14-W4
Chickakoo Lake (SW 34-53-1-W5),PP2,16,30,SW 34-53-1-W5
Cipperley’s Reservoir (SW 8-32-1-W5),PP2,23,36,SW 8-32-1-W5
Claude N. Brennan Memorial Pond (NE 36-50-7-W4),PP2,33,47,NE 36-50-7-W4
Coronation Reservoir (SW 24-36-11-W4),PP2,22,37,SW 24-36-11-W4
Daysland Pond (NE 9-45-16-W4),PP2,15,29,NE 9-45-16-W4
Dillberry Lake (NE 36-41-1-W4),PP2,16,30,NE 36-41-1-W4
Diplomat Mine Pond (NW 1-41-16-W4),PP2,20,34,NW 1-41-16-W4
East Pit Lake (SE 23-53-4-W5),PP2,15,29,SE 23-53-4-W5
East Stormwater Pond (SE 29-40-26-W4),PP2,22,37,SE 29-40-26-W4
Genesee Trout Pond (NW 1-51-3-W5),PP2,20,33,NW 1-51-3-W5
Gibbons Pond (NE 10-56-23-W4),PP2,14,29,NE 10-56-23-W4
Gooseberry Park Pond (NE 22-36-6-W4),PP2,22,36,NE 22-36-6-W4
Hansen’s Reservoir (SW29-38-3-W5),PP2,20,34,NE29-38-3-W5
Hasse Lake (SW 13-52-2-W5),PP2,12,26,SW 13-52-2-W5
Helmer Reservoir (SW 18-31-14-W4),PP2,18,33,SW 18-31-14-W4
Heritage Lake (NW 33-55-25-W4),PP2,15,30,NW 33-55-25-W4
Hermitage Park Pond (NE18-53-23-W4),PP2,21,35,NE18-53-23-W4
Hiller’s Reservoir (SE 13-32-29-W4),PP2,20,35,SE 13-32-29-W4
Huber Reservoir (SW 36-37-13-W4),PP2,17,32,SW 36-37-13-W4
Innisfree Trout Pond (SE 13-51-12-W4),PP2,22,37,SE 13-51-12-W4
Irma Fish And Game Pond (SW 34-45-9-W4),PP2,25,39,SW 34-45-9-W4
Jack Fish Lake (NW 20-53-9-W4),PP2,16,30,NW 20-53-9-W4
Kraft Wimborne Pond (SE 28-33-26-W4)   ,PP2,21,36,SE 28-33-26-W4
Lamont Pond (SW 27-55-19-W4),PP2,13,28,SW 27-55-19-W4
Leduc Reservoir (NE 27-49-25-W4),PP2,17,32,NE 27-49-25-W4
Len Thompson Pond (NW 29-40-26-W4),PP2,19,34,NW 29-40-26-W4
Lougheed Trout Pond (NE 33-43-11-W4),PP2,21,36,NE 33-43-11-W4
Mclaren’s Reservoir (SW 23-33-18-W4),PP2,21,36,SW 23-33-18-W4
Michichi Reservoir (SW 19-30-18-W4),PP2,20,35,SW 19-30-18-W4
Midway Reservoir (SE 16-30-27-W4),PP2,18,33,SE 16-30-27-W4
Mirror Reservoir (SW 29-40-22-W4),PP2,18,33,SW 29-40-22-W4
Mitchell Pond (NW 18-38-27-W4),PP2,15,30,NW 18-38-27-W4
Morinville Fish And Game Pond (NW 4-56-25-W4),PP2,31,45,NW 4-56-25-W4
Mound Red Reservoir (NW 11-45-28-W4),PP2,21,36,NW 11-45-28-W4
Nuggent Pond (SE 14-44-3-W5),PP2,14,28,SE 14-44-3-W5
Open Ck Reservoir (NE25-42-6-W5),PP2,19,30,NE25-42-6-W5
Oyen Pond (NW 34-27-4-W4),PP2,11,25,NW 34-27-4-W4
Oyen Reservoir (NE 33-30-4-W4),PP2,16,30,NE 33-30-4-W4
Parlby Reservoir (NE 25-40-24-W4),PP2,18,33,NE 25-40-24-W4
Pleasure Island Reservoir (SW 20-46-19-W4),PP2,27,42,SW 20-46-19-W4
