Lake_Name,Common_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Huber Reservoir,,SW36-37-13-W4,TGTR,Beitty/Bow River,3N,16.7,1250,27-04-2026
Irma Fish and,,SW34-45-9-W4,BKTR,Beitty Resort,3N,20.6,300,01-05-2026
Irma Fish and,,SW34-45-9-W4,RNTR,Riverence,AF3N,24.5,200,01-05-2026
Kerbe's Pond,,NE19-36-20-W4,TGTR,Beitty/Bow River,3N,16.7,1000,27-04-2026
Kerbe's Pond,,NE19-36-20-W4,BNTR,Bow River,3N,17.6,250,27-04-2026
Kerbe's Pond,,NE19-36-20-W4,RNTR,Riverence,AF3N,23.6,1000,27-04-2026
Kids Can Catch,,SW13-24-1-W5,RNTR,Riverence,AF3N,23.7,15,01-05-2026
Mclaren's,,SW23-33-18-W4,RNTR,Riverence,AF3N,20.3,4200,28-04-2026
Mclaren's,,SW23-33-18-W4,RNTR,Riverence,AF3N,26.2,1400,29-04-2026
McQuillan,,SW13-8-19-W4,RNTR,Riverence,AF2N,24.5,2000,21-04-2026
McVinnie,,SW33-12-21-W4,TGTR,Beitty/Bow River,3N,17.0,400,20-04-2026
McVinnie,,SW33-12-21-W4,RNTR,Riverence,AF2N,26.2,1155,21-04-2026
Mitford Ponds,,SE4-26-4-W5,RNTR,Riverence,AF3N,23.0,350,30-04-2026
Mitford Ponds,,SE4-26-4-W5,BNTR,Bow River,3N,18.2,61,30-04-2026
Nicholas Sheran,,SE26-8-22-W4,BKTR,Beitty Resort,2N,35.0,130,08-04-2026
Nicholas Sheran,,SE26-8-22-W4,RNTR,Riverence,AF3N,24.0,2000,20-04-2026
Nicholas Sheran,,SE26-8-22-W4,BKTR,Beitty Resort,3N,19.0,2000,20-04-2026
Nicholas Sheran,,SE26-8-22-W4,BNTR,Bow River,3N,17.7,2000,20-04-2026
Nicholas Sheran,,SE26-8-22-W4,BNTR,Bow River,2N,42.1,50,24-04-2026
Nose Creek Pond,,NE1-27-1-W5,RNTR,Trout Lodge/Kamloops,AF3N,22.3,350,23-04-2026
Pine Coulee,,NE15-14-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.0,5000,14-04-2026
Pleasure Island,,SW20-46-19-W4,RNTR,Riverence,AF3N,23.0,200,01-05-2026
Pleasure Island,,SW20-46-19-W4,BKTR,Beitty Resort,3N,18.7,1070,01-05-2026
Pleasure Island,,SW20-46-19-W4,TGTR,Beitty/Bow River,3N,17.4,200,01-05-2026
Pleasure Island,,SW20-46-19-W4,BNTR,Bow River,3N,18.0,160,01-05-2026
Riverstone Pond,,SW24-8-22-W4,RNTR,Riverence,AF3N,23.9,1830,15-04-2026
Severn Creek,,NW12-26-22-W4,RNTR,Riverence,AF2N,20.3,4200,23-04-2026
Severn Creek,,NW12-26-22-W4,RNTR,Riverence,AF3N,26.2,1400,29-04-2026
Spring Coulee,,NE12-5-24-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.2,2500,20-04-2026
Telegraph Park,,NW32-48-21-W4,BNTR,Bow River,3N,18.0,193,01-05-2026
Telegraph Park,,NW32-48-21-W4,RNTR,Riverence,AF3N,23.0,200,01-05-2026
Telegraph Park,,NW32-48-21-W4,BKTR,Beitty Resort,3N,18.7,1200,01-05-2026
