Site Names,,,,
Codes,English Names,Province Codes,Latitude,Longitude
s0000454,Chatham-Kent,ON,42.43N,82.13W
s0000615,Chelsea,QC,45.50N,75.78W
s0000501,Chesterfield,NU,63.34N,90.70W
s0000420,Chéticamp,NS,46.63N,61.01W
s0000500,Chetwynd,BC,55.70N,121.63W
s0000121,Chevery,QC,50.47N,59.60W
s0000598,Chibougamau,QC,49.92N,74.37W
s0000398,Chilliwack,BC,49.18N,121.94W
s0000502,Chipman,NB,46.17N,65.89W
s0000779,Churchill,MB,58.73N,94.12W
s0000832,Churchill Falls,NL,53.55N,64.02W
s0000466,Clarenville,NL,48.16N,53.98W
s0000120,Claresholm,AB,50.02N,113.58W
s0000002,Clearwater,BC,51.65N,120.03W
s0000107,Clinton,BC,51.08N,121.58W
s0000504,Clyde River,NU,70.47N,68.59W
s0000296,Coaticook,QC,45.13N,71.80W
s0000251,Cobourg,ON,43.96N,78.16W
s0000706,Cochrane,ON,49.17N,81.06W
s0000493,Cochrane,AB,51.21N,114.47W
s0000619,Cold Lake,AB,54.45N,110.17W
s0000108,Collingwood,ON,44.50N,80.24W
s0000369,Collins Bay,SK,58.28N,103.63W
s0000164,Colville Lake,NT,67.03N,126.12W
s0000656,Comox,BC,49.68N,124.93W
s0000144,Contrecoeur,QC,45.85N,73.23W
s0000846,Coquihalla Highway - Hope to Merritt,BC,49.63N,121.02W
s0000847,Coquihalla Highway - Merritt to Kamloops,BC,50.46N,120.59W
s0000798,Coral Harbour,NU,64.13N,83.17W
s0000221,Corner Brook,NL,48.94N,57.97W
s0000071,Cornwall,ON,45.03N,74.73W
s0000081,Coronach,SK,49.11N,105.51W
s0000111,Coronation,AB,52.09N,111.45W
s0000657,Courtenay,BC,49.68N,124.98W
s0000053,Cowansville,QC,45.20N,72.75W
s0000741,Cranbrook,BC,49.50N,115.77W
s0000212,Creston,BC,49.10N,116.50W
s0000310,Crowsnest,AB,49.63N,114.69W
s0000845,Cummins Lakes (Provincial Park),BC,52.10N,118.06W
s0000360,Cypress Hills (Provincial Park),SK,49.63N,109.75W
s0000808,Dalhousie,NB,48.05N,66.39W
s0000115,'Daniel''s Harbour',NL,50.24N,57.59W
s0000508,Dauphin,MB,51.15N,100.05W
s0000275,Dawson,YT,64.06N,139.43W
s0000509,Dawson Creek,BC,55.77N,120.23W
s0000227,Dease Lake,BC,58.43N,130.02W
s0000732,Deep River,ON,46.05N,77.42W
s0000507,Deer Lake,NL,49.18N,57.43W
s0000256,Deerwood,MB,49.40N,98.39W
s0000423,Deline,NT,65.19N,123.42W
s0000769,Delson,QC,45.37N,73.55W
s0000831,Delta,MB,50.19N,98.32W
s0000031,Dempster (Highway),YT,66.16N,137.15W
s0000791,Detah,NT,62.41N,114.31W
s0000361,Deux-Montagnes,QC,45.53N,73.88W
s0000364,Digby,NS,44.62N,65.76W
s0000503,Doaktown,NB,46.56N,66.12W
s0000270,Dolbeau-Mistassini,QC,48.88N,72.23W
s0000009,Dome Creek,BC,53.75N,121.03W
s0000152,Dominion City,MB,49.14N,97.16W
s0000182,Donnacona,QC,46.67N,71.75W
s0000660,Dorion,ON,48.79N,88.65W
s0000468,Drayton Valley,AB,53.22N,114.98W
s0000129,Drumheller,AB,51.46N,112.72W
s0000261,Drummondville,QC,45.88N,72.48W
s0000546,Dryden,ON,49.78N,92.77W
s0000863,Duncan,BC,48.78N,123.71W
s0000452,Dunchurch,ON,45.65N,79.85W
s0000237,Dundalk,ON,44.17N,80.39W
s0000428,Ear Falls,ON,50.64N,93.24W
s0000752,Earlton,ON,47.71N,79.82W
s0000138,East Point,PE,46.45N,62.00W
s0000134,Eastend,SK,49.52N,108.82W
s0000814,Economy,NS,45.38N,63.91W
s0000045,Edmonton,AB,53.53N,113.49W
s0000510,'Edmonton (Int''l Aprt)',AB,53.34N,113.54W
s0000043,Edmundston,NB,47.38N,68.29W
s0000518,Edson,AB,53.58N,116.43W
s0000618,Ekati (Lac de Gras),NT,64.50N,110.50W
s0000274,Elbow,SK,51.12N,106.60W
s0000156,Elk Island (National Park),AB,53.61N,112.87W
s0000512,Elliot Lake,ON,46.38N,82.66W
s0000153,Emerson,MB,49.01N,97.21W
s0000112,Englee,NL,50.73N,56.10W
s0000206,Ennadai,NU,61.13N,100.88W
s0000560,Enterprise,NT,60.55N,116.13W
s0000028,Escoumins,QC,48.42N,69.42W
s0000861,Eskasoni,NS,45.94N,60.62W
s0000286,Esquimalt,BC,48.45N,123.42W
s0000516,Estevan,SK,49.14N,102.99W
s0000132,Estevan Point,BC,49.38N,126.55W
s0000176,Esther,AB,51.68N,110.26W
s0000140,Eureka,NU,79.98N,85.95W
s0000063,Farnham,QC,45.28N,72.98W
s0000349,Faro,YT,62.23N,133.36W
s0000738,Fermont,QC,52.78N,67.08W
s0000339,Fisher Branch,MB,51.08N,97.62W
s0000015,Flin Flon,MB,54.77N,101.86W
s0000484,Forestville,QC,48.73N,69.08W
s0000536,Forillon,QC,48.84N,64.34W
s0000537,Forillon (National Park),QC,48.90N,64.35W
s0000597,Fort Albany,ON,52.21N,81.68W
s0000636,Fort Chipewyan,AB,58.71N,111.16W
s0000282,Fort Erie,ON,42.92N,79.02W
s0000104,Fort Frances,ON,48.61N,93.39W
s0000818,Fort Good Hope,NT,66.26N,128.64W
s0000210,Fort Liard,NT,60.23N,123.47W
s0000595,Fort McMurray,AB,56.73N,111.38W
s0000816,Fort McPherson,NT,67.44N,134.88W
s0000771,Fort Nelson,BC,58.81N,122.70W
s0000188,Fort Providence,NT,61.35N,117.65W
