Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,Harleck Pond,SE5-41-14-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.3,400,2023-05-16
Unnamed,"Helmer
Reservoir",SW18-31-14-W4,RNTR,Trout Lodge/Kamloops,AF3N,19.2,1510,2023-09-20
Unnamed,Helmer Reservoir,SW18-31-14-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,2510,2023-05-05
Unnamed,Heritage Lake,NW33-55-25-W4,BKTR,Beitty Resort,3N,20.2,1600,2023-05-01
Unnamed,Heritage Lake,NW33-55-25-W4,BNTR,Bow River,3N,18.5,500,2023-05-01
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20,2050,2023-05-01
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.7,2000,2023-05-30
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.1,1011,2023-09-19
Unnamed,"Hermitage Park
Pond",NE18-53-23-W4,BNTR,Bow River,3N,18,300,2023-05-10
Unnamed,Hermitage Park Pond,NE18-53-23-W4,RNTR,Trout Lodge/Jumpers,AF3N,21,2395,2023-05-10
Unnamed,Hermitage Park Pond,NE18-53-23-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.7,1255,2023-06-08
Unnamed,"Highway 40
Pond",SW12-69-6-W6,RNTR,Trout Lodge/Jumpers,AF3N,19.9,502,2023-05-10
Unnamed,"Highway 63
Pond",NE35-87-9-W4,RNTR,Campbell Lake,2N,19.7,399,2023-05-09
Unnamed,Highway 686 Pond,NE17-85-19-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.2,251,2023-05-24
Unnamed,"Hiller's
Reservoir",SE13-32-29-W4,RNTR,Campbell Lake,2N,20,2993,2023-05-01
Unnamed,Huber Reservoir,SW36-37-13-W4,TGTR,Beitty/Bow River,3N,19.9,1250,2023-05-02
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Campbell Lake,2N,7.7,4000,2023-05-01
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Campbell Lake,2N,20.1,2394,2023-05-02
Unnamed,Innisfree Trout Pond,SE13-51-12-W4,BKTR,Beitty Resort,3N,20.3,600,2023-05-03
Unnamed,Innisfree Trout Pond,SE13-51-12-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.6,400,2023-05-03
Unnamed,"Irma Fish And
Game Pond",SW34-45-9-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,200,2023-05-05
