name,other_name,district,lat,long,ats,waterbody_id
EAST TWIN LAKE,,,57.45,-117.533333,SW29-97-22-W5,
ECHO DALE REGIONAL PARK POND,,MEDICINE HAT,50.049958,-110.780527,SE5-13-6-W4,6842
EDITH LAKE,,HIGH PRAIRIE,54.801854,-115.382263,NE13-67-10-W5,4505
ELK CREEK POND,,ROCKY MOUNTAIN HOUSE,52.056822,-115.657217,NW33-35-12-W5,6820
ELK POINT POND,,,53.88794,-110.910635,NW36-56-7-W4,417505
EMERALD LAKE,,WHITECOURT,54.333426,-115.61828,SW5-62-11-W5,6821
EMERSON LAKE,,HIGH RIVER,50.576929,-113.85125,SW5-19-28-W4,6822
EMERSON LAKES,,EDSON,53.723859,-117.12285,NW6-55-21-W5,4535
ENCHANT POND,,LETHBRIDGE,50.161135,-112.432267,NW8-14-18-W4,6823
ENGSTROM LAKE,,FORT MCMURRAY,56.188889,-110.906389,NW17-83-6-W4,4539
FAIRFAX LAKE,,EDSON,52.971131,-116.576532,NW17-46-18-W5,4562
FAIRVIEW COLLEGE POND,,FAIRVIEW,56.0588,-118.387234,SW34-81-3-W6,6825
FIESTA LAKE,,SUNDRE,51.995874,-114.726449,NE12-35-6-W5,24364
FIGURE EIGHT LAKE,,PEACE RIVER,56.30153,-117.906378,NE20-84-25-W5,6827
FISH LAKE,SHUNDA LAKE,NORDEGG,52.451617,-116.149976,SW19-40-15-W5,5804
FOOTNER POND,,HIGH LEVEL,58.608147,-117.156875,SE5-111-19-W5,6830
FOREMOST RESERVOIR,,FOREMOST,49.477485,-111.456691,NW17-6-11-W4,6831
FORT LIONS PARK POND,WEST RIVERS EDGE POND,EDMONTON,53.683219,-113.274136,NE23-54-23-W4,26854
FORTY MILE COULEE RESERVOIR,,FOREMOST,49.643425,-111.393806,SW14-8-11-W4,6813
FOX CREEK TROUT POND,,FOX CREEK,54.45359,-116.888798,NW13-63-20-W5,6815
Gap Lake,,,,,NE5-39-13-W5,
GENESEE TROUT POND,,WETASKIWIN,53.376492,-114.309875,NW1-51-3-W5,23292
GIBBONS POND,,EDMONTON,53.830514,-113.332084,NE10-56-23-W4,6816
GOLDEYE LAKE,,NORDEGG,52.449584,-116.192114,NE14-40-16-W5,4697
GOLDSPRING PARK POND,,LETHBRIDGE,49.095497,-111.995479,NE6-2-15-W4,6818
GOOSEBERRY PARK POND,,CORONATION,52.110661,-110.771236,NE22-36-6-W4,6809
GRANDE CACHE LAKE,,GRANDE CACHE,53.9,-119.05,NE1-57-8-W6,4725
GRANUM POND,,CLARESHOLM,49.870282,-113.516665,NW31-10-26-W4,6810
GROTTO MOUNTAIN POND,,CANMORE,51.065761,-115.202402,NW21-24-9-W5,3476
HANSEN'S RESERVOIR,,RED DEER,52.297145,-114.394522,NE29-38-3-W5,6806
HARLECK POND,,NORDEGG,52.494632,-115.972609,SE5-41-14-W5,6808
HASSE LAKE,,STONY PLAIN,53.487212,-114.173756,SW13-52-2-W5,4794
HASSE LAKE,LITTLE BEAR LAKE,COLD LAKE,54.551596,-110.300937,NW19-64-2-W4,5093
HELMER RESERVOIR,,HANNA,51.649233,-111.983108,SW18-31-14-W4,6803
HERITAGE LAKE,,STONY PLAIN,53.799728,-113.66643,NW33-55-25-W4,6790
HERMITAGE PARK POND,,EDMONTON,53.581702,-113.371337,NE18-53-23-W4,6791
