OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
UNNAMED,MCQUILLAN RESERVOIR,SW13-8-19-W4,49.64707,-112.45932,RNTR,Trout Lodge/Jumpers,AF3N,20,2350,23-Apr-20
UNNAMED,MCQUILLAN RESERVOIR,SW13-8-19-W4,49.64707,-112.45932,RNTR,Trout Lodge/Kamloops,AF3N,20.35,2350,19-Jun-20
UNNAMED,MCVINNIE RESERVOIR,SW33-12-21-W4,50.035398,-112.816726,RNTR,Trout Lodge/Jumpers,AF3N,20,2205,29-Apr-20
UNNAMED,MCVINNIE RESERVOIR,SW33-12-21-W4,50.035398,-112.816726,RNTR,Trout Lodge/Kamloops,AF3N,21.01,2205,23-Jun-20
UNNAMED,MD PEACE POND #1,SW27-83-23-W5,56.222511,-117.556197,RNTR,Trout Lodge/Jumpers,AF2N,19.8,1000,20-May-20
UNNAMED,MD PEACE POND #2,SW27-83-23-W5,56.224205,-117.553092,RNTR,Trout Lodge/Jumpers,AF2N,19.8,1000,20-May-20
UNNAMED,MIDWAY RESERVOIR,SE16-30-27-W4,51.565685,-113.735238,RNTR,Trout Lodge/Kamloops,AF3N,22.9,1116,29-Apr-20
UNNAMED,MIDWAY RESERVOIR,SE16-30-27-W4,51.565685,-113.735238,RNTR,Trout Lodge/Kamloops,AF3N,20.3,1000,18-Jun-20
UNNAMED,MILE 07 LAKE,NE35-69-14-W4,55.021444,-112.015324,RNTR,Pit Lakes,2N,15.6,4000,14-May-20
UNNAMED,MILE 07 LAKE,NE35-69-14-W4,55.021444,-112.015324,RNTR,Trout Lodge/Jumpers,AF2N,19.9,6000,14-May-20
UNNAMED,MIRROR RESERVOIR,SW29-40-22-W4,52.464155,-113.138878,BNTR,Bow River,3N,20.45,245,05-May-20
UNNAMED,MITFORD PONDS,SE4-26-4-W5,51.19005,-114.49262,BNTR,Bow River,3N,20,61,30-Apr-20
UNNAMED,MITFORD PONDS,SE4-26-4-W5,51.19005,-114.49262,RNTR,Trout Lodge/Jumpers,AF3N,20,350,30-Apr-20
UNNAMED,MORINVILLE FISH AND GAME POND,NW4-56-25-W4,53.811699,-113.658398,RNTR,Trout Lodge/Jumpers,AF3N,20,1425,05-May-20
UNNAMED,MORINVILLE FISH AND GAME POND,NW4-56-25-W4,53.811699,-113.658398,BNTR,Bow River,3N,20.45,100,05-May-20
UNNAMED,MORINVILLE FISH AND GAME POND,NW4-56-25-W4,53.811699,-113.658398,RNTR,Trout Lodge/Jumpers,AF3N,23.5,1007,22-Sep-20
UNNAMED,MOUND RED RESERVOIR,NW11-45-28-W4,52.867842,-113.961579,RNTR,Trout Lodge/Kamloops,AF3N,21.76,1400,08-May-20
UNNAMED,MOUND RED RESERVOIR,NW11-45-28-W4,52.867842,-113.961579,RNTR,Trout Lodge/Kamloops,AF3N,20.17,1400,25-Jun-20
UNNAMED,MUSKOSEEPI POND,SE26-71-6-W6,55.172657,-118.806587,RNTR,Trout Lodge/Jumpers,AF2N,19.9,500,12-May-20
UNNAMED,NARDAM LAKE,NE17-78-5-W6,55.762438,-118.725502,RNTR,Trout Lodge/Jumpers,AF2N,20.1,500,26-May-20
UNNAMED,NICHOLAS SHERAN PARK POND,SE26-8-22-W4,49.671905,-112.879725,BNTR,Bow River,3N,20.1,2000,23-Apr-20
UNNAMED,NICHOLAS SHERAN PARK POND,SE26-8-22-W4,49.671905,-112.879725,RNTR,Trout Lodge/Jumpers,AF3N,20,2000,23-Apr-20
UNNAMED,NICHOLAS SHERAN PARK POND,SE26-8-22-W4,49.671905,-112.879725,RNTR,Pit Lakes,2N,36,75,30-Apr-20
UNNAMED,NICHOLAS SHERAN PARK POND,SE26-8-22-W4,49.671905,-112.879725,BNTR,Bow River,3N,40,10,30-Apr-20
UNNAMED,NICHOLAS SHERAN PARK POND,SE26-8-22-W4,49.671905,-112.879725,RNTR,Campbell Lake,2N,55,100,27-May-20
UNNAMED,NICHOLAS SHERAN PARK POND,SE26-8-22-W4,49.671905,-112.879725,BNTR,Bow River,3N,21.09,500,04-Jun-20
UNNAMED,NITON LAKE,SE32-53-12-W5,53.616078,-115.725966,RNTR,Trout Lodge/Jumpers,AF2N,19.73,1500,07-May-20
UNNAMED,NORDEGG BORROW PIT (EAST),SE32-40-15-W5,52.480398,-116.122018,RNTR,Trout Lodge/Jumpers,AF3N,20.6,300,19-May-20
UNNAMED,NORDEGG BORROW PIT (WEST),SW32-40-15-W5,52.484878,-116.128512,RNTR,Trout Lodge/Jumpers,AF3N,20.6,400,19-May-20
UNNAMED,NOSE CREEK POND,NE1-27-1-W5,51.280125,-114.010762,RNTR,Trout Lodge/Kamloops,AF3N,21.85,315,30-Apr-20
UNNAMED,NUGGENT POND,SE14-44-3-W5,52.791495,-114.317013,RNTR,Trout Lodge/Kamloops,AF3N,21.76,350,08-May-20
UNNAMED,NUGGENT POND,SE14-44-3-W5,52.791495,-114.317013,RNTR,Trout Lodge/Kamloops,AF3N,20.17,350,25-Jun-20
UNNAMED,OPEN CREEK RESERVOIR,NE25-42-6-W5,52.648629,-114.729184,RNTR,Trout Lodge/Jumpers,AF3N,18.7,6000,11-May-20
UNNAMED,OPEN CREEK RESERVOIR,NE25-42-6-W5,52.648629,-114.729184,RNTR,Beitty Resort,2N,40,10,19-May-20
UNNAMED,OYEN (CONCRETE PLANT) POND,NW34-27-4-W4,51.351315,-110.488247,RNTR,Trout Lodge/Kamloops,AF3N,21.76,250,06-May-20
UNNAMED,OYEN RESERVOIR,NE33-30-4-W4,51.6135,-110.497677,RNTR,Trout Lodge/Kamloops,AF3N,21.76,200,06-May-20
UNNAMED,PIT 24,NE4-47-19-W5,53.030531,-116.714447,BNTR,Bow River,3N,21.47,250,08-Jun-20
UNNAMED,PIT 24,NE4-47-19-W5,53.030531,-116.714447,RNTR,Trout Lodge/Jumpers,AF3N,21.23,750,08-Jun-20
UNNAMED,PIT 35,SW26-46-19-W5,52.992044,-116.649313,RNTR,Trout Lodge/Jumpers,AF3N,21.43,390,09-Jun-20
UNNAMED,PIT 44,SW35-46-19-W5,53.004695,-116.653503,RNTR,Trout Lodge/Jumpers,AF3N,21.43,1100,09-Jun-20
UNNAMED,PIT 45,SE26-46-19-W5,52.992815,-116.645687,RNTR,Trout Lodge/Jumpers,AF3N,21.43,1100,09-Jun-20
UNNAMED,PLEASURE ISLAND RESERVOIR,SW20-46-19-W4,52.979766,-112.729392,BKTR,Beitty Resort,3N,19.61,1000,06-May-20
UNNAMED,PLEASURE ISLAND RESERVOIR,SW20-46-19-W4,52.979766,-112.729392,BNTR,Bow River,3N,20.45,160,06-May-20
UNNAMED,PLEASURE ISLAND RESERVOIR,SW20-46-19-W4,52.979766,-112.729392,RNTR,Trout Lodge/Kamloops,AF3N,20.72,1200,24-Jun-20
UNNAMED,PLEASURE ISLAND RESERVOIR,SW20-46-19-W4,52.979766,-112.729392,RNTR,Trout Lodge/Jumpers,AF3N,19.6,1222,15-Sep-20
UNNAMED,PONOKA CENTENNIAL PARK POND,NE5-43-25-W4,52.680354,-113.584991,RNTR,Trout Lodge/Kamloops,AF2N,21.76,650,01-May-20
UNNAMED,RADWAY FISH POND,SE31-58-20-W4,54.056793,-112.95596,RNTR,Trout Lodge/Jumpers,AF3N,20.1,1040,11-May-20
UNNAMED,RAINBOW LAKE POND,NE25-109-9-W6,58.495385,-119.349303,RNTR,Trout Lodge/Jumpers,AF3N,20,500,20-May-20
UNNAMED,RIVERSTONE POND,SW24-8-22-W4,49.659849,-112.863787,RNTR,Trout Lodge/Jumpers,AF3N,20,1000,29-Apr-20
UNNAMED,RIVERSTONE POND,SW24-8-22-W4,49.659849,-112.863787,RNTR,Pit Lakes,2N,26,250,27-May-20
UNNAMED,RIVERSTONE POND,SW24-8-22-W4,49.659849,-112.863787,BNTR,Bow River,3N,21.09,300,04-Jun-20
UNNAMED,RIVERSTONE POND,SW24-8-22-W4,49.659849,-112.863787,RNTR,Trout Lodge/Silver's,AF3N,24.3,638,10-Sep-20
UNNAMED,RIVERSTONE POND,SW24-8-22-W4,49.659849,-112.863787,RNTR,Trout Lodge/Kamloops,AF2N,21.96,468,01-Oct-20
UNNAMED,SEVERN CREEK RESERVOIR,NW12-26-22-W4,51.208304,-112.955705,RNTR,Trout Lodge/Jumpers,AF3N,17.9,5600,28-Apr-20
UNNAMED,SHELL TRUE NORTH POND,SW10-79-8-W6,55.829544,-119.167595,BKTR,Beitty Resort,3N,20.1,640,14-May-20
UNNAMED,SHEMELUK LAKE,SW25-60-17-W4,54.212986,-112.423089,RNTR,Pit Lakes,2N,15.6,6000,13-May-20
UNNAMED,SHUSTER LAKE,NE26-43-5-W4,52.740747,-110.609119,RNTR,Pit Lakes,2N,15.7,1000,15-May-20
UNNAMED,SHUSTER LAKE,NE26-43-5-W4,52.740747,-110.609119,RNTR,Campbell Lake,2N,17.68,2000,15-May-20
UNNAMED,SHUSTER LAKE,NE26-43-5-W4,52.740747,-110.609119,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1500,15-May-20
UNNAMED,SHUSTER LAKE,NE26-43-5-W4,52.740747,-110.609119,RNTR,Trout Lodge/Kamloops,AF3N,16.12,2000,15-May-20
UNNAMED,SIBBALD LAKE,NE14-24-7-W5,51.048693,-114.866712,RNTR,Trout Lodge/Jumpers,AF3N,20.1,1130,14-May-20
UNNAMED,SIBBALD LAKE,NE14-24-7-W5,51.048693,-114.866712,RNTR,Trout Lodge/Jumpers,AF3N,21.2,1000,09-Jul-20
UNNAMED,SILKSTONE LAKE,NE9-47-19-W5,53.0436,-116.717434,RNTR,Trout Lodge/Jumpers,AF3N,21.23,1300,08-Jun-20
UNNAMED,SPRING COULEE PARK POND,NE12-5-24-W4,49.372404,-113.108558,RNTR,Trout Lodge/Jumpers,AF3N,19,3000,05-May-20
UNNAMED,SPRING LAKE,NE23-75-11-W6,55.513162,-119.583801,BKTR,Beitty Resort,3N,20.4,4000,25-May-20
UNNAMED,SPRING LAKE,NE23-75-11-W6,55.513162,-119.583801,RNTR,Trout Lodge/Kamloops,AF3N,16.58,6400,25-May-20
UNNAMED,ST. PAUL FISH POND,SE9-58-9-W4,53.9954,-111.2685,RNTR,Trout Lodge/Jumpers,AF2N,20,1800,09-May-20
UNNAMED,ST. PAUL FISH POND,SE9-58-9-W4,53.9954,-111.2685,RNTR,Trout Lodge/Kamloops,AF2N,22.21,600,10-Sep-20
UNNAMED,STIRLING CHILDREN'S POND,SW29-6-19-W4,49.500793,-112.5376,RNTR,Trout Lodge/Kamloops,AF3N,22.3,1000,26-Apr-20
UNNAMED,STRATHMORE CHILDREN'S POND,SW14-24-25-W4,51.041855,-113.390752,RNTR,Trout Lodge/Kamloops,AF3N,21.85,1650,30-Apr-20
UNNAMED,TABER TROUT POND,NW1-10-17-W4,49.794747,-112.188165,RNTR,Trout Lodge/Kamloops,AF3N,21.74,2250,23-Apr-20
UNNAMED,TABER TROUT POND,NW1-10-17-W4,49.794747,-112.188165,RNTR,Trout Lodge/Kamloops,AF3N,20.35,2150,19-Jun-20
UNNAMED,TAMARACK LAKE,NE10-66-12-W5,54.702083,-115.71791,RNTR,Trout Lodge/Jumpers,AF3N,9.57,8000,07-Oct-20
UNNAMED,TELEGRAPH PARK POND,NW32-48-21-W4,53.1886,-113.0443,RNTR,Trout Lodge/Jumpers,AF3N,20.08,800,06-May-20
UNNAMED,TELEGRAPH PARK POND,NW32-48-21-W4,53.1886,-113.0443,BNTR,Bow River,3N,20.45,193,06-May-20
UNNAMED,TELEGRAPH PARK POND,NW32-48-21-W4,53.1886,-113.0443,BKTR,Beitty Resort,3N,19.61,1200,06-May-20
UNNAMED,TELEGRAPH PARK POND,NW32-48-21-W4,53.1886,-113.0443,RNTR,Campbell Lake,3N,19.3,900,03-Sep-20
UNNAMED,TELEGRAPH PARK POND,NW32-48-21-W4,53.1886,-113.0443,RNTR,Trout Lodge/Jumpers,AF3N,23.8,100,16-Sep-20
UNNAMED,TEXACO EAST POND,NW15-88-8-W4,56.637029,-111.191296,RNTR,Trout Lodge/Jumpers,AF2N,19.9,2700,14-May-20
UNNAMED,TEXACO POND,SW20-88-8-W4,56.639271,-111.248523,RNTR,Trout Lodge/Jumpers,AF2N,19.9,1500,14-May-20
UNNAMED,TIM HORTON CHILDREN'S POND,NW14-24-8-W5,51.046185,-115.018195,RNTR,Trout Lodge/Jumpers,AF3N,20.3,1200,14-May-20
UNNAMED,TRAPPER LAKE,SE19-58-16-W5,54.022698,-116.362574,RNTR,Trout Lodge/Jumpers,AF3N,9.33,1100,06-Oct-20
UNNAMED,TWO HILLS POND,SW32-54-12-W4,53.703308,-111.744946,RNTR,Trout Lodge/Kamloops,AF3N,21.2,750,14-May-20
UNNAMED,VALLEYVIEW CHILDREN'S POND,NE21-70-22-W5,55.076591,-117.284529,RNTR,Trout Lodge/Jumpers,AF2N,19.7,500,19-May-20
UNNAMED,VEGREVILLE CHILDREN'S POND,NW17-52-14-W4,53.492329,-112.035539,RNTR,Trout Lodge/Kamloops,AF3N,21.2,300,14-May-20
UNNAMED,VEGREVILLE TROUT POND,SW7-52-14-W4,53.474312,-112.05988,RNTR,Trout Lodge/Jumpers,AF2N,20,10000,05-May-20
UNNAMED,VEGREVILLE TROUT POND,SW7-52-14-W4,53.474312,-112.05988,RNTR,Campbell Lake,2N,40,50,24-Sep-20
UNNAMED,WALLACE PARK POND,NE31-44-6-W4,52.8425,-110.85653,RNTR,Trout Lodge/Kamloops,AF3N,21.2,500,14-May-20
UNNAMED,WEBERVILLE POND,NW7-85-21-W5,56.360995,-117.311159,RNTR,Trout Lodge/Jumpers,AF2N,19.8,1000,20-May-20
UNNAMED,WETASKIWIN POND,NE24-46-24-W4,52.987222,-113.353311,RNTR,Trout Lodge/Jumpers,AF3N,20.1,200,05-May-20
UNNAMED,WETASKIWIN POND,NE24-46-24-W4,52.987222,-113.353311,BKTR,Beitty Resort,3N,21.1,320,05-May-20
UNNAMED,WHITECOURT TOWN POND,NE35-59-12-W5,54.149158,-115.685342,RNTR,Trout Lodge/Jumpers,AF3N,20.1,1500,11-May-20
UNNAMED,WILDWOOD POND,SW30-53-9-W5,53.601291,-115.318904,RNTR,Trout Lodge/Jumpers,AF2N,20.1,1500,26-May-20
UNNAMED,WINCHELL LAKE,NW2-29-5-W5,51.454862,-114.609375,RNTR,Campbell Lake,3N,10,3178,25-May-20
UNNAMED,WINCHELL LAKE,NW2-29-5-W5,51.454862,-114.609375,RNTR,Campbell Lake,3N,8,2822,25-May-20
UNNAMED,WINCHELL LAKE,NW2-29-5-W5,51.454862,-114.609375,RNTR,Trout Lodge/Jumpers,AF3N,19.4,1000,01-Jun-20
UNNAMED,WINCHELL LAKE,NW2-29-5-W5,51.454862,-114.609375,RNTR,Trout Lodge/Kamloops,AF3N,13.5,3500,01-Jun-20
UNNAMED,WOLF CREEK POND,SW13-53-16-W5,53.574507,-116.2285,RNTR,Trout Lodge/Jumpers,AF3N,20,750,20-May-20
VICTOR LAKE,,SW35-56-8-W6,53.882014,-119.090207,RNTR,Trout Lodge/Kamloops,AF3N,15.52,15000,10-Jun-20
WEST DOLLAR LAKE,,SE18-73-21-W5,55.317308,-117.209194,RNTR,Trout Lodge/Jumpers,AF3N,20.6,1000,19-May-20
WEST DOLLAR LAKE,,SE18-73-21-W5,55.317308,-117.209194,BNTR,Bow River,3N,19.2,250,19-May-20
WEST RIVERS EDGE POND,FORT LIONS PARK POND,NE23-54-23-W4,53.683219,-113.274136,RNTR,Trout Lodge/Jumpers,AF3N,20.08,1000,06-May-20
WEST RIVERS EDGE POND,FORT LIONS PARK POND,NE23-54-23-W4,53.683219,-113.274136,BNTR,Bow River,3N,20.45,250,06-May-20
WEST RIVERS EDGE POND,FORT LIONS PARK POND,NE23-54-23-W4,53.683219,-113.274136,RNTR,Trout Lodge/Kamloops,AF3N,20.72,1700,24-Jun-20
WEST RIVERS EDGE POND,FORT LIONS PARK POND,NE23-54-23-W4,53.683219,-113.274136,TGTR,Beitty/Bow River,3N,22.81,250,15-Sep-20
WHITERIDGE RECREATION AREA POND,BLUERIDGE PIT,SW1-60-10-W5,54.15613,-115.364319,RNTR,Trout Lodge/Jumpers,AF3N,20.6,2100,19-May-20
WILDHORSE LAKES,LOWER WILDHORSE LAKE,SW31-49-26-W5,53.269491,-117.792759,RNTR,Trout Lodge/Kamloops,AF3N,15.97,7500,01-Jun-20
WILDHORSE LAKES,UPPER WILDHORSE LAKE,SW31-49-26-W5,53.271338,-117.80152,BKTR,Beitty Resort,3N,9.35,2500,01-Jun-20
WINDSOR LAKE,,SW10-42-22-W4,52.595848,-113.093667,RNTR,Trout Lodge/Kamloops,AF3N,21.76,2000,05-May-20
WINDSOR LAKE,,SW10-42-22-W4,52.595848,-113.093667,RNTR,Trout Lodge/Kamloops,AF3N,20.72,1455,24-Jun-20
YELLOWHEAD LAKE,,SW33-34-6-W5,51.957774,-114.802334,BKTR,Beitty Resort,3N,20.2,3000,25-Jun-20
YELLOWHEAD LAKE,,SW33-34-6-W5,51.957774,-114.802334,BKTR,Beitty Resort,3N,9.94,4600,25-Jun-20
