Stocking Date,Waterbody ID,Water Type,Waterbody Official Name,Waterbody Common Name,District,Latitude,Longitude,Waterbody ATS,Species Code,Species Common Name,Number,Average Length,Average Weight,Genotype,Strain,Station
2022-09-19,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,5494,17.6,,3N,Campbell Lake,
2022-09-21,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,38000,14.2,,3N,Beitty Resort,
2022-09-28,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,2001,20.2,,AF3N,Trout Lodge/Kamloops,
2022-09-28,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,7999,16.1,,3N,Campbell Lake,
2022-09-21,,,Lake Of Falls,,,,,NE10-36-19-W5,CTTR,,4000,18.4,,3N,Job Lake,
2020-05-25,,,UNNAMED,GIBBONS POND,,53.830514,-113.332084,NE10-56-23-W4,RNTR,,300,21.2,,AF2N,Trout Lodge/Kamloops,
2020-06-24,,,UNNAMED,GIBBONS POND,,53.830514,-113.332084,NE10-56-23-W4,RNTR,,300,20.72,,AF3N,Trout Lodge/Kamloops,
2021-06-24,6816,Lentic,UNNAMED,GIBBONS POND,EDMONTON,53.830514,-113.332084,NE10-56-23-W4,RNTR,RAINBOW TROUT,300,20.3,90.3,AF3N,Trout Lodge/Kamloops,Smoky Trout Farm
2022-05-19,,,Gibbons Pond,,,,,NE10-56-23-W4,RNTR,,300,20.9,,AF3N,Trout Lodge/Kamloops,
2020-10-07,,,UNNAMED,TAMARACK LAKE,,54.702083,-115.71791,NE10-66-12-W5,RNTR,,8000,9.57,,AF3N,Trout Lodge/Jumpers,
2022-10-04,,,Tamarack Lake,,,,,NE10-66-12-W5,RNTR,,8000,7.9,,AF3N,Trout Lodge/Jumpers,
2021-05-28,3526,Lentic,MILK RIVER RIDGE RESERVOIR,,LETHBRIDGE,49.375056,-112.587358,NE11-5-20-W4,WALL,WALLEYE,183840,0.4,,2N,Lac Ste. Anne,Cold Lake
2022-05-27,,,Milk River Ridge Reservoir,,,,,NE11-5-20-W4,WALL,,229742,0.4,,2N,Lac Ste. Anne,
2020-05-13,,,BEAVER MINES LAKE,,,49.372895,-114.296284,NE11-5-3-W5,RNTR,,23000,15.1,,AF3N,Trout Lodge/Jumpers,
2021-04-28,4018,Lentic,BEAVER MINES LAKE,,BLAIRMORE,49.372895,-114.296284,NE11-5-3-W5,RNTR,RAINBOW TROUT,23000,17.5,59.3,AF3N,Trout Lodge/Jumpers,Sam Livingston
2022-04-26,,,Beaver Mines Lake,,,,,NE11-5-3-W5,RNTR,,23000,17.7,,AF3N,Trout Lodge/Jumpers,
2020-05-29,,,UNNAMED,FIESTA LAKE,,51.995874,-114.726449,NE12-35-6-W5,RNTR,,550,17,,3N,Campbell Lake,
2021-05-11,24364,Lentic,UNNAMED,FIESTA LAKE,SUNDRE,51.995874,-114.726449,NE12-35-6-W5,RNTR,RAINBOW TROUT,500,17.5,58,3N,Campbell Lake,Raven
2022-05-24,,,Fiesta Lake,,,,,NE12-35-6-W5,RNTR,,550,24.7,,3N,Campbell Lake,
2020-09-10,,,COW LAKE,,,52.260185,-115.005926,NE12-38-8-W5,BNTR,,25800,8.53,,3N,Bow River,
2021-05-03,4340,Lentic,COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,RNTR,RAINBOW TROUT,6000,17.9,63.3,AF3N,Trout Lodge/Jumpers,Sam Livingston
2021-05-03,4340,Lentic,COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,RNTR,RAINBOW TROUT,55938,7.5,4.7,3N,Beitty Resort,Sam Livingston
2021-05-03,4340,Lentic,COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,RNTR,RAINBOW TROUT,9887,21.3,107.4,AF3N,Trout Lodge/Jumpers,Sam Livingston
2021-05-04,4340,Lentic,COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,RNTR,RAINBOW TROUT,6313,21,103.3,AF3N,Trout Lodge/Jumpers,Sam Livingston
2021-05-11,4340,Lentic,COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,RNTR,RAINBOW TROUT,30000,15.5,40.9,AF2N,Trout Lodge/Kamloops,Cold Lake
2021-05-11,4340,Lentic,COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,RNTR,RAINBOW TROUT,8100,18.4,68.3,AF3N,Trout Lodge/Jumpers,Cold Lake
2021-05-11,4340,Lentic,COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,BNTR,BROWN TROUT,8000,17.2,56.7,3N,Bow River,Cold Lake
2022-04-29,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,3609,22,,3N,Beitty Resort,
2022-05-02,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,2992,20,,3N,Beitty Resort,
2022-05-02,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,4862,18,,3N,Beitty Resort,
2022-05-09,,,Cow Lake,,,,,NE12-38-8-W5,BNTR,,5000,18.5,,3N,Bow River,
2022-05-11,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,28500,18.9,,AF2N,Trout Lodge/Jumpers,
2022-05-11,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,12690,17.5,,3N,Beitty Resort,
2022-05-12,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,6228,18,,3N,Beitty Resort,
2022-05-12,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,21434,18.7,,AF2N,Trout Lodge/Jumpers,
2022-05-12,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,21414,18.7,,AF2N,Trout Lodge/Jumpers,
2022-06-22,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,600,27.4,,2N,Beitty Resort,
2022-07-04,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,912,21,,2N,Campbell Lake,
2022-09-14,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,22903,6.5,,3N,Campbell Lake,
2022-09-14,,,Cow Lake,,,,,NE12-38-8-W5,BNTR,,20010,8.8,,3N,Bow River,
2022-10-06,,,Cow Lake,,,,,NE12-38-8-W5,RNTR,,12147,18,,3N,Campbell Lake,
2020-05-05,,,UNNAMED,SPRING COULEE PARK POND,,49.372404,-113.108558,NE12-5-24-W4,RNTR,,3000,19,,AF3N,Trout Lodge/Jumpers,
2021-04-15,6692,Lentic,UNNAMED,SPRING COULEE PARK POND,CARDSTON,49.372404,-113.108558,NE12-5-24-W4,RNTR,RAINBOW TROUT,3000,21.2,105.8,AF3N,Trout Lodge/Jumpers,Sam Livingston
2022-04-19,,,Spring Coulee Park Pond,,,,,NE12-5-24-W4,RNTR,,2500,20,,AF2N,Trout Lodge/Jumpers,
2020-06-01,,,EDITH LAKE,,,54.801854,-115.382263,NE13-67-10-W5,BKTR,,1800,22.24,,3N,Beitty Resort,
2021-05-25,4505,Lentic,EDITH LAKE,,HIGH PRAIRIE,54.801854,-115.382263,NE13-67-10-W5,BKTR,BROOK TROUT,2100,20.4,94.1,3N,Beitty Resort,Cold Lake
2022-05-25,,,Edith Lake,,,,,NE13-67-10-W5,BKTR,,2100,19.1,,3N,Beitty Resort,
2020-05-14,,,UNNAMED,SIBBALD LAKE,,51.048693,-114.866712,NE14-24-7-W5,RNTR,,1130,20.1,,AF3N,Trout Lodge/Jumpers,
2020-07-09,,,UNNAMED,SIBBALD LAKE,,51.048693,-114.866712,NE14-24-7-W5,RNTR,,1000,21.2,,AF3N,Trout Lodge/Jumpers,
2020-05-21,,,GOLDEYE LAKE,,,52.449584,-116.192114,NE14-40-16-W5,RNTR,,10000,20.7,,AF3N,Trout Lodge/Jumpers,
2021-05-11,4697,Lentic,GOLDEYE LAKE,,NORDEGG,52.449584,-116.192114,NE14-40-16-W5,RNTR,RAINBOW TROUT,1446,22.2,121,AF3N,Trout Lodge/Jumpers,Sam Livingston
2021-05-12,4697,Lentic,GOLDEYE LAKE,,NORDEGG,52.449584,-116.192114,NE14-40-16-W5,RNTR,RAINBOW TROUT,8554,21.1,104.3,AF3N,Trout Lodge/Jumpers,Sam Livingston
2022-05-19,,,Goldeye Lake,,,,,NE14-40-16-W5,RNTR,,10000,18.7,,AF3N,Trout Lodge/Jumpers,
2021-04-14,18007,Lentic,PINE COULEE RESERVOIR,,CLARESHOLM,50.1757,-113.737738,NE15-14-28-W4,RNTR,RAINBOW TROUT,7500,20.3,92,AF3N,Trout Lodge/Jumpers,Sam Livingston
2022-04-18,,,Pine Coulee Reservoir,,,,,NE15-14-28-W4,RNTR,,7500,20.7,,AF3N,Trout Lodge/Jumpers,
2020-04-23,,,UNNAMED,BOW CITY EAST PONDS,,50.434749,-112.259866,NE15-17-17-W4,RNTR,,1500,21.74,,AF3N,Trout Lodge/Kamloops,
2021-05-20,6882,Lentic,UNNAMED,BOW CITY EAST PONDS,BROOKS,50.434749,-112.259866,NE15-17-17-W4,RNTR,RAINBOW TROUT,2000,21.1,81.1,AF3N,Trout Lodge/Kamloops,Smoky Trout Farm
2022-04-21,,,Bow City East Ponds,,,,,NE15-17-17-W4,RNTR,,1000,20.7,,AF3N,Trout Lodge/Silver's,
2020-04-28,,,UNNAMED,BROOKS AQUADUCT POND,,50.524756,-111.843722,NE15-18-14-W4,RNTR,,2500,16,,2N,Campbell Lake,
2020-04-28,,,UNNAMED,BROOKS AQUADUCT POND,,50.524756,-111.843722,NE15-18-14-W4,RNTR,,7500,18.3,,AF3N,Trout Lodge/Jumpers,
2021-04-14,6873,Lentic,UNNAMED,BROOKS AQUADUCT POND,BROOKS,50.524756,-111.843722,NE15-18-14-W4,RNTR,RAINBOW TROUT,4000,21.2,100.5,2N,Campbell Lake,Sam Livingston
