Lake_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Wildhorse Lakes (Upper,SW31-49-26-W5,BKTR,Beitty Resort,3N,5.2,2500,28-05-2026
Yellowhead Lake,SW33-34-6-W5,BKTR,Beitty Resort,3N,19.5,4000,04-06-2026
Bear Pond,NW36-14-4-W5,TGTR,Bow River,3N,19.5,750,05-06-2026
Beaumont Pond,NW27-50-24-W4,TGTR,Bow River,3N,17.9,200,07-05-2026
Big Iron Lake,NW1-15-4-W5,TGTR,Bow River,3N,19.5,750,05-06-2026
Black Nugget Mine Pit,NW11-49-18-W4,TGTR,Bow River,3N,20.9,5000,04-05-2026
Blood Indian Creek,SW28-26-9-W4,BNTR,Bow River,3N,17.6,7500,23-04-2026
Blood Indian Creek,SW28-26-9-W4,TGTR,Bow River,3N,20.5,6000,27-04-2026
Boulder Lake,NE18-39-27-W4,TGTR,Bow River,3N,17.2,200,04-05-2026
Captain Eyre Lake (Capt,NW30-38-5-W4,TGTR,Bow River,3N,17,2000,28-04-2026
Cardiff Park Pond,SW24-55-25-W4,TGTR,Bow River,3N,18.1,2550,08-05-2026
Castaway Trout Pond,NE35-47-13-W4,TGTR,Bow River,3N,18.6,100,11-05-2026
Chain Lakes (Lower Chain,NW7-69-23-W4,BNTR,Bow River,3N,21.8,1000,13-05-2026
Coronation Reservoir,SW24-36-11-W4,TGTR,Bow River,3N,16.7,1000,27-04-2026
Dickson Trout Pond,NW13-35-3-W5,TGTR,Bow River,3N,17.7,1700,04-05-2026
Dillberry Lake,NE36-41-1-W4,TGTR,Bow River,3N,20.6,3500,06-05-2026
Diplomat Mine Pond,NW1-41-16-W4,TGTR,Bow River,3N,17.6,1500,29-04-2026
Dolberg Lake,SE1-60-8-W5,TGTR,Bow River,3N,21.9,2000,22-05-2026
East Dollar Lake,NW8-73-21-W5,TGTR,Bow River,3N,21.8,300,19-05-2026
Elk Point Pond,NW36-56-7-W4,TGTR,Bow River,3N,23.1,150,12-05-2026
Enchant Pond,NW8-14-18-W4,TGTR,Bow River,3N,17,200,20-04-2026
Hasse Lake,SW13-52-2-W5,TGTR,Bow River,3N,20.8,1500,07-05-2026
Huber Reservoir,SW36-37-13-W4,TGTR,Bow River,3N,16.7,1250,27-04-2026
Jack Fish Lake,NW20-53-9-W4,TGTR,Bow River,3N,23.1,2000,13-05-2026
Kerbe's Pond,NE19-36-20-W4,TGTR,Bow River,3N,16.7,1000,27-04-2026
Kraft Wimborne Pond,SE28-33-26-W4,TGTR,Bow River,3N,19,70,11-05-2026
Len Thompson Pond,NW29-40-26-W4,TGTR,Bow River,3N,17.3,650,04-05-2026
Little Bear Lake (Hasse,NW19-64-2-W4,BNTR,Bow River,3N,18.7,1000,22-05-2026
Little Bear Lake (Hasse,NW19-64-2-W4,TGTR,Bow River,3N,23.1,2200,22-05-2026
Little Beaverdam Lake,SE34-1-28-W4,TGTR,Bow River,3N,18.3,1000,19-05-2026
McVinnie Reservoir,SW33-12-21-W4,TGTR,Bow River,3N,17,400,20-04-2026
Michel Reservoir (Michel,NE5-7-3-W4,BNTR,Bow River,3N,17.2,1500,22-04-2026
Montaganeusse Lake,NE31-86-3-W6,TGTR,Bow River,3N,22.5,1975,25-05-2026
Moonshine Lake (Mirage,SE31-79-8-W6,BNTR,Bow River,3N,20,500,26-05-2026
Morinville Fish And Game,NW4-56-25-W4,BNTR,Bow River,3N,17.9,100,05-05-2026
Niemela Reservoir (Ray's,SE1-39-3-W5,TGTR,Bow River,3N,17.3,250,04-05-2026
Obed Lake,SW11-53-22-W5,BNTR,Bow River,3N,20.1,6430,07-05-2026
Pierre Greys Lakes (Upper,SW7-57-4-W6,BNTR,Bow River,3N,21.9,1000,01-06-2026
Pleasure Island Reservoir,SW20-46-19-W4,TGTR,Bow River,3N,17.4,200,01-05-2026
Ponoka Centennial Park,NE5-43-25-W4,TGTR,Bow River,3N,18.4,100,07-05-2026
Reesor Lake,NW20-8-1-W4,TGTR,Bow River,3N,20.9,3500,04-05-2026
Salter's Lake,SW26-54-2-W5,TGTR,Bow River,3N,17.9,2000,07-05-2026
